"Mouse ID","Group","Virus","# plaques counted R1","# plaques counted R2","Average plaques from duplicate wells in a 12-well plate","Plated 10e-1 to 10e-6 dilution","Total Volume (ml)","pfu/mL right-side lung homogenate"
1,"Group 1","Mock PBS",0,0,0,"10e-2",1,11
2,"Group 1","Mock PBS",0,0,0,"10e-2",1,6
3,"Group 1","Mock PBS",0,0,0,"10e-2",1,13
4,"Group 1","Mock PBS",0,0,0,"10e-2",1,3
5,"Group 1","Mock PBS",0,0,0,"10e-2",1,1
6,"Group 1","Mock PBS",0,0,0,"10e-2",1,6
7,"Group 1","Mock PBS",0,0,0,"10e-2",1,0
8,"Group 1","Mock PBS",0,0,0,"10e-2",1,11
9,"Group 1","Mock PBS",0,0,0,"10e-2",1,3
10,"Group 1","Mock PBS",0,0,0,"10e-2",1,2
11,"Group 1","Mock PBS",0,0,0,"10e-2",1,5
12,"Group 1","Mock PBS",0,0,0,"10e-2",1,6
13,"Group 2","Mock PBS",0,0,0,"10e-2",1,5
14,"Group 2","Mock PBS",0,0,0,"10e-2",1,1
15,"Group 2","Mock PBS",0,0,0,"10e-2",1,4
16,"Group 2","Mock PBS",0,0,0,"10e-2",1,2
17,"Group 2","Mock PBS",0,0,0,"10e-2",1,1
18,"Group 2","Mock PBS",0,0,0,"10e-2",1,6
19,"Group 2","Mock PBS",0,0,0,"10e-2",1,13
20,"Group 2","Mock PBS",0,0,0,"10e-2",1,4
21,"Group 2","Mock PBS",0,0,0,"10e-2",1,0
22,"Group 2","Mock PBS",0,0,0,"10e-2",1,4
23,"Group 2","Mock PBS",0,0,0,"10e-2",1,5
24,"Group 2","Mock PBS",0,0,0,"10e-2",1,10
25,"Group 3","Pathogen X",18273,9610,13941.5,"10e-2",1,1473301
26,"Group 3","Pathogen X",7014,3961,5487.5,"10e-2",1,580665
27,"Group 3","Pathogen X",4568,4807,4687.5,"10e-2",1,382709
28,"Group 3","Pathogen X",6816,6126,6471,"10e-2",1,967179
29,"Group 3","Pathogen X",27600,26164,26882,"10e-2",1,2541457
30,"Group 3","Pathogen X",3397,6796,5096.5,"10e-2",1,564471
31,"Group 3","Pathogen X",4851,6773,5812,"10e-2",1,516588
32,"Group 3","Pathogen X",19691,11315,15503,"10e-2",1,1344960
33,"Group 3","Pathogen X",16811,7233,12022,"10e-2",1,1148522
34,"Group 3","Pathogen X",1778,1467,1622.5,"10e-2",1,285551
35,"Group 3","Pathogen X",8271,9511,8891,"10e-2",1,679193
36,"Group 3","Pathogen X",10993,26692,18842.5,"10e-2",1,1651583
37,"Group 4","Pathogen X",2807,2330,2568.5,"10e-2",1,271201
38,"Group 4","Pathogen X",4759,4656,4707.5,"10e-2",1,447775
39,"Group 4","Pathogen X",5074,4105,4589.5,"10e-2",1,489737
40,"Group 4","Pathogen X",1406,2749,2077.5,"10e-2",1,315002
41,"Group 4","Pathogen X",5941,1706,3823.5,"10e-2",1,312565
42,"Group 4","Pathogen X",2856,2900,2878,"10e-2",1,568725
43,"Group 4","Pathogen X",3754,5618,4686,"10e-2",1,562187
44,"Group 4","Pathogen X",2687,1098,1892.5,"10e-2",1,337829
45,"Group 4","Pathogen X",1719,1929,1824,"10e-2",1,162219
46,"Group 4","Pathogen X",3183,4375,3779,"10e-2",1,318309
47,"Group 4","Pathogen X",11974,18139,15056.5,"10e-2",1,1887741
48,"Group 4","Pathogen X",12783,14891,13837,"10e-2",1,1515652
49,"Group 5","Pathogen X",5166,6250,5708,"10e-2",1,733765
50,"Group 5","Pathogen X",6664,10600,8632,"10e-2",1,773076
51,"Group 5","Pathogen X",4364,6285,5324.5,"10e-2",1,510038
