Analyte,contrast,estimate_log10,SE,df,t,p,fold_change,lower_FC,upper_FC,p_adj
CXCL10,"Disease - PBS, Drug",1.2573364950107548,0.12627969235351186,16,9.95675925065546,2.9174761879568864e-8,18.08574882284912,9.76417390910482,33.499435131750566,3.889968250609182e-7
IFN-gamma,"Disease - PBS, Drug",1.3327748871178158,0.15796283665676414,16,8.43726863435473,2.7616526989060624e-7,21.51666147619669,9.95196024799976,46.520153773152195,1.6066098839826621e-6
IL-6,"Disease - PBS, Drug",1.2798964349095368,0.18509354600824882,16,6.914862579014491,3.479942848626333e-6,19.05006381810626,7.718193206149991,47.01941526739085,1.6305199336314416e-5
TNF-alpha,"Disease - PBS, Drug",1.334834473422565,0.19387646062236047,16,6.884974427208074,3.668669850670743e-6,21.618943843531984,8.39140606101466,55.697308593034,1.6305199336314416e-5
IL-1beta,"Disease - PBS, Drug",0.5351096939187574,0.11118846791207945,16,4.812636633700961,1.9133509643826275e-4,3.4285437362534523,1.9925107426514286,5.899547691150991,6.957639870482282e-4
CCL2,"Disease - PBS, Drug",0.4717380429106658,0.16766585907156722,16,2.813560527604532,0.012486975649280252,2.963043606237365,1.3070803922270244,6.716975837656976,0.024973951298560504
IL-10,"Disease - PBS, Drug",0.35493913681811595,0.15921621987383747,16,2.2292900629054553,0.040475696583234196,2.2643269565641693,1.0409163461555158,4.925637478131349,0.06476111453317472
CCL5,"Disease - PBS, Drug",0.16107158610063327,0.12189242432434189,16,1.321424091722387,0.20494537393143328,1.4490106787660637,0.7992289189804078,2.627072040707224,0.2696824463622053
CXCL10,"Disease - PBS, Vehicle",1.7038165121116573,0.12627969235351186,16,13.492403096310472,3.6994979973291035e-10,50.56109980050413,27.29703792325226,93.65209588762434,1.4797991989316413e-8
IFN-gamma,"Disease - PBS, Vehicle",2.003040573497876,0.15796283665676414,16,12.680454566983135,9.216081624373397e-10,100.7025744761341,46.57730099841073,217.72426243563055,1.8432163248746794e-8
IL-1beta,"Disease - PBS, Vehicle",0.9808583668954222,0.11118846791207945,16,8.82158361666626,1.525608834000831e-7,9.568819598824419,5.560954536921138,16.46521436327735,1.3902366999231669e-6
TNF-alpha,"Disease - PBS, Vehicle",1.693755946856489,0.19387646062236047,16,8.736264017918336,1.7377958749039586e-7,49.403298558391235,19.17592006147105,127.27868600961965,1.3902366999231669e-6
IL-6,"Disease - PBS, Vehicle",1.559569445404084,0.18509354600824882,16,8.425844547462399,2.8115672969696587e-7,36.2718281694699,14.695645139317554,89.52621720808965,1.6066098839826621e-6
IL-10,"Disease - PBS, Vehicle",1.0434340016318748,0.15921621987383747,16,6.5535659775033555,6.643328569314406e-6,11.05182505507146,5.0805495740468825,24.041264683618287,2.6573314277257624e-5
CCL5,"Disease - PBS, Vehicle",0.5517392508102194,0.12189242432434189,16,4.526444148342672,3.4420584512365486e-4,3.5623718539805056,1.9648927696568967,6.458618720577041,0.0011473528170788496
