Analyte,term,estimate,std.error,statistic,p.value,adj.p,effect,fold_change
CCL2,Factor1Disease,0.6674453666258731,0.16160057351651072,4.130216571030178,7.852093121326562e-4,7.852093121326562e-4,Disease vs PBS,4.649918774423011
CCL2,Factor2Drug,0.26086023766980393,0.16160057351651075,1.614228415118538,0.12602348614288272,0.3718876417928415,Drug vs Vehicle,1.823308840383289
CCL2,Factor1Disease:Factor2Drug,-0.2163629529383524,0.22853772275431986,-0.9467275263390305,0.35785756245521094,0.4089800713773839,Interaction,0.6076269769138847
CCL5,Factor1Disease,0.5517392508102194,0.12189242432434189,4.526444148342672,3.4420584512365486e-4,3.933781087127484e-4,Disease vs PBS,3.5623718539805056
CCL5,Factor2Drug,0.21693682554626825,0.12189242432434191,1.7797400186989798,0.09411667145275096,0.3718876417928415,Drug vs Vehicle,1.6479226597526244
CCL5,Factor1Disease:Factor2Drug,-0.3906676647095861,0.17238191963002047,-2.266291415875096,0.03765487934770325,0.0602478069563252,Interaction,0.40675447094243555
CXCL10,Factor1Disease,1.6736551488932578,0.12210835361827171,13.70631164289828,2.93134026003462e-10,2.345072208027696e-9,Disease vs PBS,47.16883488511473
CXCL10,Factor2Drug,-0.09113859953140084,0.12210835361827174,-0.7463748124580665,0.4662671411943242,0.5328767327935133,Drug vs Vehicle,0.8107022912936612
CXCL10,Factor1Disease:Factor2Drug,-0.41631865388250316,0.17268728976600967,-2.4108239491546404,0.028302607670948,0.056605215341896,Interaction,0.38342581212572013
IFN-gamma,Factor1Disease,2.029907592092135,0.16376816115164883,12.395007538812424,1.285112143606151e-9,5.140448574424604e-9,Disease vs PBS,107.12913347524905
IFN-gamma,Factor2Drug,0.20946804229424978,0.16376816115164886,1.2790522945438887,0.21911847828681585,0.4382369565736317,Drug vs Vehicle,1.619824794164863
IFN-gamma,Factor1Disease:Factor2Drug,-0.6888896258681456,0.23160315458556444,-2.974439735507313,0.00894360460898448,0.031872039943841496,Interaction,0.20469647981924088
IL-10,Factor1Disease,1.0434340016318748,0.15921621987383747,6.5535659775033555,6.643328569314406e-6,8.857771425752541e-6,Disease vs PBS,11.05182505507146
IL-10,Factor2Drug,0.24761090102082872,0.15921621987383752,1.555186407622508,0.13945786567231558,0.3718876417928415,Drug vs Vehicle,1.7685237686051638
IL-10,Factor1Disease:Factor2Drug,-0.6884948648137589,0.2251657374953577,-3.0577248229338343,0.00751636431531426,0.031872039943841496,Interaction,0.20488262755526657
IL-1beta,Factor1Disease,0.9808583668954222,0.11118846791207945,8.82158361666626,1.525608834000831e-7,2.44097413440133e-7,Disease vs PBS,9.568819598824419
IL-1beta,Factor2Drug,0.005371015349803251,0.11118846791207948,0.04830550731259555,0.9620706117888289,0.9620706117888289,Drug vs Vehicle,1.01244401017678
IL-1beta,Factor1Disease:Factor2Drug,-0.44574867297666476,0.15724423930074846,-2.8347535970721127,0.011952014978940561,0.031872039943841496,Interaction,0.358303728149987
IL-6,Factor1Disease,1.4381695026459316,0.1621782493476223,8.86783220580508,1.4221382924954982e-7,2.44097413440133e-7,Disease vs PBS,27.42644401444937
IL-6,Factor2Drug,-0.1484756944105893,0.16217824934762232,-0.9155092930639412,0.3735167322825076,0.5328767327935133,Drug vs Vehicle,0.7104349288698485
IL-6,Factor1Disease:Factor2Drug,-0.15827306773639543,0.229354679749333,-0.6900799578599212,0.5000320148262807,0.5000320148262807,Interaction,0.694587450274993
TNF-alpha,Factor1Disease,1.6160385149741963,0.1612409589386359,10.022506226778384,2.662242042522451e-8,7.099312113393202e-8,Disease vs PBS,41.308413432140235
TNF-alpha,Factor2Drug,0.1377088049763741,0.16124095893863594,0.8540559785977362,0.40567994786533945,0.5328767327935133,Drug vs Vehicle,1.373120986850165
TNF-alpha,Factor1Disease:Factor2Drug,-0.2923429650470698,0.22802915094106224,-1.2820420715535203,0.21809372087727308,0.2907916278363641,Interaction,0.510102010152069
