"Location","Sample","Original_ID","Total Events","CCL2","CCL5","IL-6","IL-10","TNF-alpha","IFN-gamma","CXCL10","IL-1beta"
"Row1","PBS_Vehicle_1","ID_1",116,228.47,195.34,90.83,39.91,14.91,23.87,94.7,63.77
"Row1","Disease_Vehicle_1","ID_2",105,1729.63,337.65,8004.67,256.39,1345.05,1756.07,10482.09,525.47
"Row1","PBS_Drug_1","ID_3",112,249.09,234.96,72.37,121.31,53.8,15.47,149.83,20.02
"Row1","Disease_Drug_1","ID_4",113,456.26,412.12,691.83,129.98,376.89,573.82,1116.27,168.36
"Row2","PBS_Vehicle_2","ID_5",81,170,153.85,88.15,26.34,2.89,5.61,123.99,21.88
"Row2","Disease_Vehicle_2","ID_6",88,720.99,809.48,1982.22,576.8,492.2,1458.52,7594.19,253.54
"Row2","PBS_Drug_2","ID_7",84,1110.32,285.54,15.51,70.04,18.63,13.29,101.74,43.4
"Row2","Disease_Drug_2","ID_8",111,1400.58,442.03,2238.38,65.79,531.66,383.67,2881.55,213.89
"Row3","PBS_Vehicle_3","ID_9",117,173.47,150.47,90.34,18.26,11.6,13.97,155.61,26.06
"Row3","Disease_Vehicle_3","ID_10",104,532.6,826.11,3401.95,153.78,372.16,760.35,3774.96,350.2
"Row3","PBS_Drug_3","ID_11",110,455.37,304.73,148.95,27.45,29.28,20.16,91.2,39.49
"Row3","Disease_Drug_3","ID_12",91,543.5,331.13,1456.47,199.64,458.34,177.5,4593.25,85.76
"Row4","PBS_Vehicle_4","ID_13",81,394.68,65.06,111.52,25.46,32.38,5.8,276.69,33.83
"Row4","Disease_Vehicle_4","ID_14",112,1066.49,355.12,940.13,411.49,1206.48,892.09,6896.9,250.96
"Row4","PBS_Drug_4","ID_15",115,224.31,199.32,62.08,27.96,6.22,6.22,139.6,34.83
"Row4","Disease_Drug_4","ID_16",112,3171.16,167.69,622.4,200.61,395.91,167.91,1243.48,109.42
"Row5","PBS_Vehicle_5","ID_17",85,189.71,122.7,62.04,24.92,30.08,7.58,77.93,29.8
"Row5","Disease_Vehicle_5","ID_18",99,1548.19,258.29,6191.45,214.58,481.99,490.27,6281.44,251.15
"Row5","PBS_Drug_5","ID_19",116,359.85,107.66,87.26,32.31,28.02,28.71,71.09,32.63
"Row5","Disease_Drug_5","ID_20",115,2108.1,277.05,1618.66,36.62,664.3,520.23,1453.14,54.67
