"SampleID","Longitude","Latitude"
"Sample_1",-69.8,-21.5
"Sample_2",-69.8,-21.5
"Sample_3",-69.8,-21.5
"Sample_4",-69.8,-21.5
"Sample_5",-68.2,-22.8
"Sample_6",-68.2,-22.8
"Sample_7",-68.2,-22.8
"Sample_8",-68.2,-22.8
"Sample_9",-70.1,-24
"Sample_10",-70.1,-24
"Sample_11",-70.1,-24
"Sample_12",-67.5,-23.2
"Sample_13",-67.5,-23.2
"Sample_14",-67.5,-23.2
"Sample_15",-67.5,-23.2
"Sample_16",-68.9,-25.6
"Sample_17",-68.9,-25.6
"Sample_18",-68.9,-25.6
"Sample_19",-68.9,-25.6
"Sample_20",-66.8,-25.1
"Sample_21",-66.8,-25.1
"Sample_22",-66.8,-25.1
"Sample_23",-66.8,-25.1
"Sample_24",-69.3,-27
"Sample_25",-69.3,-27
"Sample_26",-69.3,-27
"Sample_27",-65.5,-26.3
"Sample_28",-65.5,-26.3
"Sample_29",-65.5,-26.3
"Sample_30",-65.5,-26.3
