"SampleID","Clade","Year","Host"
"Sample_1","Clade_A",2019,"Rodent_A"
"Sample_2","Clade_A",2018,"Rodent_B"
"Sample_3","Clade_A",2015,"Rodent_B"
"Sample_4","Clade_A",2020,"Rodent_A"
"Sample_5","Clade_A",2021,"Rodent_A"
"Sample_6","Clade_A",2022,"Rodent_A"
"Sample_7","Clade_A",2016,"Rodent_B"
"Sample_8","Clade_B",2019,"Rodent_B"
"Sample_9","Clade_B",2017,"Rodent_A"
"Sample_10","Clade_B",2020,"Rodent_A"
"Sample_11","Clade_B",2015,"Rodent_B"
"Sample_12","Clade_B",2015,"Rodent_A"
"Sample_13","Clade_B",2018,"Rodent_A"
"Sample_14","Clade_A",2022,"Rodent_A"
"Sample_15","Clade_A",2019,"Rodent_A"
"Sample_16","Clade_C",2019,"Rodent_B"
"Sample_17","Clade_C",2015,"Rodent_A"
"Sample_18","Clade_C",2016,"Rodent_A"
"Sample_19","Clade_C",2022,"Rodent_A"
"Sample_20","Clade_C",2019,"Rodent_A"
"Sample_21","Clade_C",2019,"Rodent_A"
"Sample_22","Clade_C",2015,"Rodent_A"
"Sample_23","Clade_D",2016,"Rodent_A"
"Sample_24","Clade_D",2020,"Rodent_A"
"Sample_25","Clade_D",2015,"Rodent_A"
"Sample_26","Clade_D",2018,"Rodent_A"
"Sample_27","Clade_D",2020,"Rodent_A"
"Sample_28","Clade_D",2021,"Rodent_B"
"Sample_29","Clade_C",2023,"Rodent_B"
"Sample_30","Clade_C",2018,"Rodent_A"
