ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009615,response to virus,14/14,443/25615,0.03160270880361174,57.8216704288939,28.211829731309397,1.7463941952409187e-25,5.553533540866121e-23,2.3714194861692477e-23,Ifit3/Oas1a/Usp18/Bst2/Stat2/Ifit1/Oas2/Mx1/Irf7/Ifih1/Isg15/Rsad2/Ifit2/Stat1,14
GO:0051607,defense response to virus,13/14,349/25615,0.03724928366762178,68.15288579615228,29.538157630461267,6.168599494267154e-24,9.808073195884776e-22,4.188154393476121e-22,Ifit3/Oas1a/Usp18/Bst2/Stat2/Ifit1/Oas2/Irf7/Ifih1/Isg15/Rsad2/Ifit2/Stat1,13
GO:0048525,negative regulation of viral process,8/14,82/25615,0.0975609756097561,178.50174216027875,37.64721716043274,2.295351271012079e-17,2.4330723472728036e-15,1.0389484700370464e-15,Oas1a/Bst2/Ifit1/Oas2/Ifih1/Isg15/Rsad2/Stat1,8
GO:0060337,type I interferon-mediated signaling pathway,8/14,101/25615,0.07920792079207921,144.92220650636492,33.890148792810315,1.2963630653449726e-16,8.244869095594026e-15,3.5206491669368735e-15,Oas1a/Usp18/Stat2/Oas2/Irf7/Ifih1/Isg15/Stat1,8
GO:0071357,cellular response to type I interferon,8/14,101/25615,0.07920792079207921,144.92220650636492,33.890148792810315,1.2963630653449726e-16,8.244869095594026e-15,3.5206491669368735e-15,Oas1a/Usp18/Stat2/Oas2/Irf7/Ifih1/Isg15/Stat1,8
GO:0034340,response to type I interferon,8/14,109/25615,0.07339449541284404,134.28571428571428,32.60993481300852,2.432895914070355e-16,1.2894348344572882e-14,5.5060275950013305e-15,Oas1a/Usp18/Stat2/Oas2/Irf7/Ifih1/Isg15/Stat1,8
GO:0140888,interferon-mediated signaling pathway,8/14,122/25615,0.06557377049180328,119.97658079625292,30.80386290005908,6.149510982833277e-16,2.7936349893442603e-14,1.19291265682029e-14,Oas1a/Usp18/Stat2/Oas2/Irf7/Ifih1/Isg15/Stat1,8
GO:0050792,regulation of viral process,8/14,157/25615,0.050955414012738856,93.23020928116469,27.1072296354954,4.84221003381205e-15,1.9247784884402898e-13,8.21901439949677e-14,Oas1a/Bst2/Ifit1/Oas2/Ifih1/Isg15/Rsad2/Stat1,8
GO:0140374,antiviral innate immune response,7/14,93/25615,0.07526881720430108,137.71505376344086,30.88692797217838,2.2204617385558167e-14,7.845631476230553e-13,3.3501703423824603e-13,Ifit3/Oas1a/Usp18/Ifit1/Oas2/Ifih1/Ifit2,7
GO:0045071,negative regulation of viral genome replication,6/14,53/25615,0.11320754716981132,207.12938005390836,35.12810095895072,1.7363223528179845e-13,5.521505081961191e-12,2.3577429843528424e-12,Oas1a/Bst2/Oas2/Ifih1/Isg15/Rsad2,6
GO:0016032,viral process,8/14,311/25615,0.02572347266881029,47.06476802939825,19.11299513225263,1.216729469241917e-12,3.5174542838084505e-11,1.5019914022220794e-11,Oas1a/Bst2/Ifit1/Oas2/Ifih1/Isg15/Rsad2/Stat1,8
GO:0045069,regulation of viral genome replication,6/14,85/25615,0.07058823529411765,129.15126050420167,27.674589863828487,3.2795211415652886e-12,8.690731025148015e-11,3.711037081244932e-11,Oas1a/Bst2/Oas2/Ifih1/Isg15/Rsad2,6
GO:0032481,positive regulation of type I interferon production,6/14,105/25615,0.05714285714285714,104.55102040816327,24.86383177254694,1.2003135653153031e-11,2.9361516443866643e-10,1.2537688253091022e-10,Oas1a/Oas2/Irf7/Ifih1/Isg15/Stat1,6
GO:0019079,viral genome replication,6/14,110/25615,0.05454545454545454,99.79870129870129,24.283381908797956,1.5953353406645118e-11,3.6236902737951057e-10,1.5473553304189628e-10,Oas1a/Bst2/Oas2/Ifih1/Isg15/Rsad2,6
GO:1903900,regulation of viral life cycle,6/14,124/25615,0.04838709677419355,88.5311059907834,22.84830974637589,3.31357576842074e-11,7.024780629051968e-10,2.999658064044039e-10,Oas1a/Bst2/Oas2/Ifih1/Isg15/Rsad2,6
GO:0060338,regulation of type I interferon-mediated signaling pathway,5/14,49/25615,0.10204081632653061,186.69825072886297,30.426270086291833,4.1026773864510696e-11,8.154071305571501e-10,3.481877518764395e-10,Oas1a/Usp18/Stat2/Irf7/Isg15,5
GO:0032728,positive regulation of interferon-beta production,5/14,53/25615,0.09433962264150944,172.60781671159032,29.24501451085383,6.166914461656893e-11,1.1535757640040542e-9,4.925894523552566e-10,Oas1a/Oas2/Irf7/Ifih1/Isg15,5
GO:0032479,regulation of type I interferon production,6/14,151/25615,0.039735099337748346,72.70104068117313,20.664498767061755,1.0968092249841511e-10,1.8357122818155792e-9,7.838691968030776e-10,Oas1a/Oas2/Irf7/Ifih1/Isg15/Stat1,6
GO:0032606,type I interferon production,6/14,151/25615,0.039735099337748346,72.70104068117313,20.664498767061755,1.0968092249841511e-10,1.8357122818155792e-9,7.838691968030776e-10,Oas1a/Oas2/Irf7/Ifih1/Isg15/Stat1,6
GO:0032608,interferon-beta production,5/14,73/25615,0.0684931506849315,125.31800391389432,24.873807201616597,3.2089691381073044e-10,4.859296123419632e-9,2.074972525392693e-9,Oas1a/Oas2/Irf7/Ifih1/Isg15,5
GO:0032648,regulation of interferon-beta production,5/14,73/25615,0.0684931506849315,125.31800391389432,24.873807201616597,3.2089691381073044e-10,4.859296123419632e-9,2.074972525392693e-9,Oas1a/Oas2/Irf7/Ifih1/Isg15,5
GO:0060759,regulation of response to cytokine stimulus,6/14,185/25615,0.032432432432432434,59.339768339768334,18.62308562218118,3.744856556994261e-10,5.413019932382614e-9,2.3114186404414336e-9,Oas1a/Usp18/Stat2/Irf7/Ifih1/Isg15,6
