ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007059,chromosome segregation,15/18,443/25615,0.033860045146726865,48.18472535741159,26.56591960575514,2.2774582929121746e-24,1.2662668108591691e-21,4.482996850258702e-22,Mki67/Top2a/Tpx2/Cdk1/Cenpf/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Pttg1/Ccnb2/Plk1/Bub1,15
GO:0098813,nuclear chromosome segregation,14/18,332/25615,0.04216867469879518,60.00836680053548,28.69780994525294,8.381742484571e-24,2.330124410710738e-21,8.249399182183037e-22,Top2a/Tpx2/Cdk1/Cenpf/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Pttg1/Ccnb2/Plk1/Bub1,14
GO:0000280,nuclear division,14/18,473/25615,0.02959830866807611,42.12003758515387,23.936716888899298,1.266852109288486e-21,2.3478992425479944e-19,8.312327874980594e-20,Mki67/Top2a/Tpx2/Cdk1/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Pttg1/Ccnb2/Plk1/Bub1,14
GO:0000819,sister chromatid segregation,11/18,232/25615,0.047413793103448273,67.47246168582376,26.970854171845104,7.978523394151672e-19,1.1090147517870823e-16,3.926273354490428e-17,Top2a/Tpx2/Cdk1/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Plk1/Bub1,11
GO:0140014,mitotic nuclear division,11/18,285/25615,0.03859649122807018,54.924951267056535,24.27588197307802,7.9198485869885e-18,8.806871628731212e-16,3.117919338456525e-16,Mki67/Tpx2/Cdk1/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Plk1/Bub1,11
GO:0000070,mitotic sister chromatid segregation,10/18,192/25615,0.052083333333333336,74.11747685185186,26.967384840758907,1.8359377925212787e-17,1.7013023544030516e-15,6.023164336868055e-16,Tpx2/Cdk1/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Kif11/Plk1/Bub1,10
GO:0007088,regulation of mitotic nuclear division,8/18,122/25615,0.06557377049180328,93.3151183970856,27.103332581412456,8.819731916219938e-15,7.005387064883265e-13,2.480135140350569e-13,Mki67/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,8
GO:0051783,regulation of nuclear division,8/18,157/25615,0.050955414012738856,72.51238499646142,23.8341335450054,6.91097703109409e-14,4.8031290366103925e-12,1.7004640852823616e-12,Mki67/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,8
GO:1902850,microtubule cytoskeleton organization involved in mitosis,8/18,165/25615,0.048484848484848485,68.996632996633,23.236242908467496,1.0348516465771636e-13,6.393083505521144e-12,2.2633597416366034e-12,Tpx2/Cdk1/Aurkb/Nusap1/Ccnb1/Cdc20/Kif11/Plk1,8
GO:0051304,chromosome separation,7/18,88/25615,0.07954545454545454,113.19760101010101,27.957957400720158,1.3661589564838065e-13,7.595843798049964e-12,2.6891760511839138e-12,Top2a/Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,7
GO:0033045,regulation of sister chromatid segregation,7/18,107/25615,0.06542056074766354,93.09709241952234,25.315122016684764,5.571494356717456e-13,2.816137147577187e-11,9.970042533073343e-12,Cdk1/Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,7
GO:0033047,regulation of mitotic sister chromatid segregation,6/18,60/25615,0.1,142.30555555555554,29.058777547799373,2.3194707626566353e-12,1.0746881200309078e-10,3.804745900147288e-11,Cdk1/Aurkb/Ccnb1/Cdc20/Plk1/Bub1,6
GO:0010965,regulation of mitotic sister chromatid separation,6/18,62/25615,0.0967741935483871,137.71505376344086,28.580620662121756,2.845838731086435e-12,1.2171433342185058e-10,4.3090837466652904e-11,Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,6
GO:0051983,regulation of chromosome segregation,7/18,136/25615,0.051470588235294115,73.24550653594771,22.401109352930973,3.084381794246347e-12,1.2249401982864065e-10,4.336687184391481e-11,Cdk1/Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,7
GO:0051306,mitotic sister chromatid separation,6/18,65/25615,0.09230769230769231,131.35897435897436,27.905035661551125,3.819136087423396e-12,1.4156264430716055e-10,5.011778584899474e-11,Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,6
GO:0044772,mitotic cell cycle phase transition,9/18,453/25615,0.019867549668874173,28.27262693156733,15.53044552623705,6.602090499940406e-12,2.2674646441681057e-10,8.027563204457323e-11,Cdk1/Cenpf/Aurkb/Ube2c/Ccnb1/Cdc20/Ccnb2/Plk1/Bub1,9
GO:0090068,positive regulation of cell cycle process,8/18,278/25615,0.02877697841726619,40.95123900879297,17.760511768987023,6.932895494758597e-12,2.2674646441681057e-10,8.027563204457323e-11,Cdk1/Aurkb/Nusap1/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,8
GO:1905818,regulation of chromosome separation,6/18,77/25615,0.07792207792207792,110.88744588744589,25.608280688238978,1.0909731106158886e-11,3.369894719457967e-10,1.193052465995153e-10,Aurkb/Ube2c/Ccnb1/Cdc20/Plk1/Bub1,6
GO:0044839,cell cycle G2/M phase transition,7/18,165/25615,0.04242424242424243,60.37205387205387,20.288996748029792,1.2138629572876454e-11,3.552146338168057e-10,1.2575754737550676e-10,Cdk1/Cenpf/Aurkb/Ccnb1/Cdc20/Ccnb2/Plk1,7
