ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0006954,inflammatory response,14/15,29/483,0.4827586206896552,15.544827586206898,14.448603461838541,3.1645061338602753e-18,2.044270962473738e-15,3.764096769749591e-16,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Socs3/Icam1/Jun/Stat3/Ptgs2/Cxcl1/Il1b/Tlr2,14
GO:1901701,cellular response to oxygen-containing compound,13/15,33/483,0.3939393939393939,12.684848484848484,12.437125608948397,5.2255961311655564e-15,1.6878675503664747e-12,3.1078545411668836e-13,Il6/Cxcl10/Ccl2/Tnf/Nfkbia/Socs3/Icam1/Jun/Fos/Stat3/Cxcl1/Il1b/Tlr2,13
GO:1901700,response to oxygen-containing compound,14/15,48/483,0.2916666666666667,9.391666666666667,10.95646452302417,1.891236722373772e-14,3.886563293186197e-12,7.156292197002449e-13,Il6/Cxcl10/Ccl2/Tnf/Nfkbia/Socs3/Icam1/Jun/Fos/Stat3/Ptgs2/Cxcl1/Il1b/Tlr2,14
GO:0070887,cellular response to chemical stimulus,15/15,66/483,0.22727272727272727,7.3181818181818175,9.879666434541647,2.4065407388149828e-14,3.886563293186197e-12,7.156292197002449e-13,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Socs3/Icam1/Jun/Fos/Stat3/Ptgs2/Cxcl1/Il1b/Tlr2,15
GO:0006952,defense response,14/15,61/483,0.22950819672131148,7.390163934426229,9.549198340694113,8.582575403598691e-13,1.1088687421449509e-10,2.0417495170666363e-11,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Socs3/Icam1/Jun/Stat3/Ptgs2/Cxcl1/Il1b/Tlr2,14
GO:0034097,response to cytokine,13/15,47/483,0.2765957446808511,8.906382978723403,10.20304386620472,1.2097027248042598e-12,1.3024466003725865e-10,2.3981825947873926e-11,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Socs3/Icam1/Stat3/Ptgs2/Cxcl1/Il1b/Tlr2,13
GO:0050793,regulation of developmental process,14/15,63/483,0.2222222222222222,7.155555555555555,9.370421072349119,1.419062290005012e-12,1.3095917704903396e-10,2.411338928880697e-11,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Socs3/Icam1/Jun/Fos/Stat3/Ptgs2/Il1b/Tlr2,14
GO:0002684,positive regulation of immune system process,12/15,37/483,0.32432432432432434,10.443243243243243,10.690569257105144,2.4716919621237906e-12,1.9958912594149608e-10,3.675015680526162e-11,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Icam1/Jun/Fos/Cxcl1/Il1b/Tlr2,12
GO:0002682,regulation of immune system process,13/15,51/483,0.2549019607843137,8.207843137254901,9.734076686736243,4.026296189348958e-12,2.8899859314660297e-10,5.3213037356307866e-11,Il6/Cxcl10/Ccl2/Ccl5/Tnf/Nfkbia/Icam1/Jun/Fos/Stat3/Cxcl1/Il1b/Tlr2,13
GO:0002237,response to molecule of bacterial origin,9/15,15/483,0.6,19.32,12.891231111853676,6.3916951161823035e-12,3.7536682227761526e-10,6.911593761996175e-11,Il6/Cxcl10/Ccl2/Tnf/Nfkbia/Ptgs2/Cxcl1/Il1b/Tlr2,9
