category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: viral,mmu05160,Hepatitis C,8/11,164/11206,0.04878048780487805,49.6940133037694,19.690822020785735,2.8195337125664503e-13,7.755574292677684e-12,3.841770547456438e-12,246730/20847/15957/246728/17857/54123/58185/20846,8
Human Diseases,Infectious disease: viral,mmu05164,Influenza A,8/11,174/11206,0.04597701149425287,46.8380355276907,19.101334875470766,4.56210252510452e-13,7.755574292677684e-12,3.841770547456438e-12,246730/20847/246728/17857/54123/71586/58185/20846,8
Human Diseases,Infectious disease: viral,mmu05162,Measles,7/11,142/11206,0.04929577464788732,50.21895006402049,18.501658382670247,1.430685716778035e-11,1.6214438123484398e-10,8.031919813490723e-11,246730/20847/246728/17857/54123/71586/20846,7
Human Diseases,Infectious disease: viral,mmu05168,Herpes simplex virus 1 infection,7/11,215/11206,0.03255813953488372,33.16786469344609,14.92839381723626,2.684934481756745e-10,2.282194309493233e-9,1.1304987291607346e-9,246730/69550/20847/246728/54123/71586/20846,7
Human Diseases,Infectious disease: viral,mmu05171,Coronavirus disease,7/11,338/11206,0.020710059171597635,21.0979020979021,11.76046478058071,6.352422666083177e-9,4.3196474129365606e-8,2.1397634243648597e-8,246730/20847/246728/17857/71586/100038882/20846,7
Human Diseases,Infectious disease: viral,mmu05169,Epstein-Barr virus infection,6/11,228/11206,0.02631578947368421,26.80861244019139,12.341293770960743,2.8192633396766378e-8,1.5975825591500948e-7,7.913721655232667e-8,246730/20847/246728/54123/100038882/20846,6
Organismal Systems,Immune system,mmu04621,NOD-like receptor signaling pathway,5/11,212/11206,0.02358490566037736,24.026586620926242,10.609864870682745,9.73687512447008e-7,4.729339346171181e-6,2.3427067968649813e-6,246730/20847/246728/54123/20846,5
Human Diseases,Infectious disease: viral,mmu05161,Hepatitis B,4/11,164/11206,0.024390243902439025,24.8470066518847,9.64322165810075,1.3471694085552634e-5,5.725469986359869e-5,2.8361461232742387e-5,20847/54123/71586/20846,4
Organismal Systems,Immune system,mmu04622,RIG-I-like receptor signaling pathway,3/11,73/11206,0.0410958904109589,41.86550435865504,10.98000184013605,4.215567589946225e-5,1.5925477562019072e-4,7.88878145487013e-5,54123/71586/100038882,3
Organismal Systems,Immune system,mmu04620,Toll-like receptor signaling pathway,3/11,104/11206,0.028846153846153848,29.386363636363637,9.116246169689083,1.2138890326168765e-4,4.1272227108973803e-4,2.0444446865126338e-4,20847/54123/20846,3
Human Diseases,Infectious disease: viral,mmu05165,Human papillomavirus infection,4/11,358/11206,0.0111731843575419,11.382427628237684,6.258291841186039,2.828587862611227e-4,8.742907938980156e-4,4.330852229835371e-4,20847/17857/100038882/20846,4
Human Diseases,Infectious disease: viral,mmu05167,Kaposi sarcoma-associated herpesvirus infection,3/11,223/11206,0.013452914798206279,13.70485120260905,6.006918599409771,0.0011400304561537016,0.0032300862924354882,0.0016000427454788795,20847/54123/20846,3
Genetic Information Processing,Information processing in viruses,mmu03250,Viral life cycle - HIV-1,2/11,60/11206,0.03333333333333333,33.95757575757576,8.023458098834029,0.0015031789432729138,0.003931391082406082,0.0019474383070742203,69550/17857,2
Organismal Systems,Immune system,mmu04625,C-type lectin receptor signaling pathway,2/11,112/11206,0.017857142857142856,18.191558441558442,5.73152779113213,0.005133956447390094,0.012468179943661655,0.006176188207386579,20847/20846,2
Organismal Systems,Development and regeneration,mmu04380,Osteoclast differentiation,2/11,132/11206,0.015151515151515152,15.435261707988982,5.2293726602971535,0.007064872580647504,0.016013711182801007,0.007932488511604214,20847/20846,2
Environmental Information Processing,Signal transduction,mmu04630,JAK-STAT signaling pathway,2/11,171/11206,0.011695906432748537,11.914938862307284,4.508410140539708,0.011631435617007671,0.0247168006861413,0.012243616438955444,20847/20846,2
Cellular Processes,Cell growth and death,mmu04217,Necroptosis,2/11,177/11206,0.011299435028248588,11.511042629686697,4.418293747963645,0.012424496890122566,0.024848993780245132,0.012309099086189539,20847/20846,2
Organismal Systems,Immune system,mmu04062,Chemokine signaling pathway,2/11,194/11206,0.010309278350515464,10.502343017806934,4.184934752634295,0.014797842871119668,0.027951480978781595,0.01384593485017045,20847/20846,2
