category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Cellular Processes,Cell growth and death,mmu04110,Cell cycle,8/12,157/11206,0.050955414012738856,47.58386411889597,19.245435890584897,5.860015368514418e-13,9.962026126474512e-12,4.3179060610106244e-12,12534/20877/268697/107995/30939/12442/18817/12235,8
Cellular Processes,Cell growth and death,mmu04114,Oocyte meiosis,7/12,123/11206,0.056910569105691054,53.1449864498645,19.03883412965915,1.223104154003987e-11,1.0396385309033889e-10,4.506173198962057e-11,12534/268697/107995/30939/12442/18817/12235,7
Organismal Systems,Endocrine system,mmu04914,Progesterone-mediated oocyte maturation,5/12,93/11206,0.053763440860215055,50.20609318996416,15.600862316464044,2.6720360332180923e-8,1.514153752156919e-7,6.562895520184788e-8,12534/268697/12442/18817/12235,5
Cellular Processes,Cell growth and death,mmu04115,p53 signaling pathway,3/12,75/11206,0.04,37.35333333333333,10.342170211724287,6.066473329399615e-5,2.578251164994836e-4,1.1175082448894026e-4,12534/268697/12442,3
Environmental Information Processing,Signal transduction,mmu04068,FoxO signaling pathway,3/12,133/11206,0.022556390977443608,21.06390977443609,7.621011884318217,3.32497960930295e-4,0.001130493067163003,4.899969950551715e-4,268697/12442/18817,3
Cellular Processes,Cell growth and death,mmu04218,Cellular senescence,3/12,182/11206,0.016483516483516484,15.392857142857144,6.409394578686249,8.322018436940834e-4,0.002357905223799903,0.0010220022641857164,12534/268697/12442,3
Human Diseases,Infectious disease: viral,mmu05170,Human immunodeficiency virus 1 infection,3/12,239/11206,0.012552301255230125,11.721757322175732,5.485609695250589,0.0018277482291336167,0.004218885206098599,0.0018286189747795784,12534/268697/12442,3
Human Diseases,Infectious disease: viral,mmu05166,Human T-cell leukemia virus 1 infection,3/12,246/11206,0.012195121951219513,11.388211382113822,5.393950502506901,0.0019853577440463992,0.004218885206098599,0.0018286189747795784,107995/30939/12442,3
Genetic Information Processing,"Folding, sorting and degradation",mmu04120,Ubiquitin mediated proteolysis,2/12,156/11206,0.01282051282051282,11.972222222222221,4.518347794734925,0.01159728307640943,0.021905979144328923,0.009494851641504796,68612/107995,2
Human Diseases,Cancer: overview,mmu05203,Viral carcinogenesis,2/12,227/11206,0.00881057268722467,8.227606461086637,3.6018857714301067,0.023589301100840697,0.04010181187142919,0.017381590284829985,12534/107995,2
