category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,mmu04668,TNF signaling pathway,13/15,118/11206,0.11016949152542373,82.3039548022599,32.50447667521002,1.0243219937802538e-24,1.4033211314789478e-22,5.822461859382496e-23,16176/20304/14825/21926/15945/12702/15894/20296/14281/18035/16476/16193/19225,13
Human Diseases,Cardiovascular disease,mmu05417,Lipid and atherosclerosis,12/15,217/11206,0.055299539170506916,41.31244239631337,21.95366352827601,8.871155460484436e-19,6.076741490431839e-17,2.5212757624534717e-17,16176/20304/14825/21926/15894/24088/20296/14281/18035/16476/16193/20848,12
Human Diseases,Immune disease,mmu05323,Rheumatoid arthritis,10/15,87/11206,0.11494252873563218,85.86973180076627,29.0935490535463,1.3585581443029035e-18,6.204082192316593e-17,2.57411016815287e-17,16176/20304/14825/21926/15894/24088/20296/14281/16476/16193,10
Organismal Systems,Immune system,mmu04657,IL-17 signaling pathway,10/15,97/11206,0.10309278350515463,77.01718213058419,27.528164992997567,4.253246501560217e-18,1.4567369267843744e-16,6.044087133796098e-17,16176/14825/21926/15945/20296/14281/18035/16476/16193/19225,10
Human Diseases,Infectious disease: parasitic,mmu05142,Chagas disease,9/15,103/11206,0.08737864077669903,65.27766990291262,23.992509725916012,1.568077801368654e-15,3.9177403149930743e-14,1.6254934845149906e-14,16176/20304/21926/24088/20296/14281/18035/16476/16193,9
Organismal Systems,Immune system,mmu04620,Toll-like receptor signaling pathway,9/15,104/11206,0.08653846153846154,64.65,23.874351201915037,1.7157986780991569e-15,3.9177403149930743e-14,1.6254934845149906e-14,16176/20304/21926/15945/24088/14281/18035/16476/16193,9
Human Diseases,Infectious disease: viral,mmu05164,Influenza A,9/15,174/11206,0.05172413793103448,38.641379310344824,18.320196972789613,1.9703715254340462e-13,3.856298556920919e-12,1.6000009379464437e-12,16176/20304/21926/15945/12702/15894/20296/18035/16193,9
Human Diseases,Infectious disease: viral,mmu05171,Coronavirus disease,10/15,338/11206,0.029585798816568046,22.102564102564102,14.422344845404176,1.4354622947323292e-12,2.4582291797291137e-11,1.0199337357308656e-11,16176/21926/15945/24088/20296/14281/18035/16476/16193/20848,10
Human Diseases,Infectious disease: parasitic,mmu05140,Leishmaniasis,7/15,70/11206,0.1,74.70666666666666,22.64687546636417,1.6874550815264388e-12,2.5686816241013568e-11,1.0657611041219614e-11,16176/21926/24088/14281/18035/16476/19225,7
Human Diseases,Endocrine and metabolic disease,mmu04933,AGE-RAGE signaling pathway in diabetic complications,7/15,101/11206,0.06930693069306931,51.77689768976898,18.766560396912574,2.374377049500912e-11,3.252896557816249e-10,1.3496459018215713e-10,16176/21926/15894/20296/16476/16193/20848,7
Human Diseases,Infectious disease: bacterial,mmu05134,Legionellosis,6/15,59/11206,0.1016949152542373,75.97288135593222,21.138215411255967,7.91581029789033e-11,9.431791776193534e-10,3.9133058464421887e-10,16176/14825/21926/24088/18035/16193,6
