"Gene","Comparison","log2FoldChange","padj"
"Stat1","Condition_A",2.2275,0.000217423618160157
"Stat2","Condition_A",-2.6491,0.000217423618160157
"Irf7","Condition_A",3.0907,0.000217423618160157
"Isg15","Condition_A",-3.0627,0.000217423618160157
"Ifit1","Condition_A",-3.4408,0.000198271671385529
"Ifit2","Condition_A",-3.2568,0.000217423618160157
"Ifit3","Condition_A",2.4661,0.000198271671385529
"Mx1","Condition_A",3.1723,0.000217423618160157
"Oas1a","Condition_A",-2.799,0.000198271671385529
"Oas2","Condition_A",-3.1713,0.000217423618160157
"Rsad2","Condition_A",-2.6333,0.000217423618160157
"Ddx58","Condition_A",-3.4549,0.000210127951092436
"Ifih1","Condition_A",-2.8741,0.000217423618160157
"Usp18","Condition_A",-2.4661,0.000217423618160157
"Bst2","Condition_A",2.6975,0.000217423618160157
"Mki67","Condition_A",1.218,0.974424908177987
"Top2a","Condition_A",0.6518,0.974424908177987
"Cdk1","Condition_A",-0.7493,0.996719934674911
"Ccnb1","Condition_A",0.6593,0.974424908177987
"Ccnb2","Condition_A",-0.7847,0.974424908177987
"Aurkb","Condition_A",-0.4081,0.974424908177987
"Bub1","Condition_A",1.0688,0.974424908177987
"Ube2c","Condition_A",-0.2611,0.974424908177987
"Cenpf","Condition_A",0.7457,0.974424908177987
"Nusap1","Condition_A",1.8521,0.200708313049349
"Tpx2","Condition_A",-1.4187,0.974424908177987
"Pttg1","Condition_A",1.9426,0.207168762094064
"Cdc20","Condition_A",-2.0085,0.204491930219186
"Plk1","Condition_A",-0.4359,0.974424908177987
"Kif11","Condition_A",-0.3027,0.974424908177987
"Il6","Condition_A",-0.138,0.974424908177987
"Cxcl10","Condition_A",-0.2189,0.974424908177987
"Ccl2","Condition_A",1.703,0.974424908177987
"Ccl5","Condition_A",-1.2474,0.995531804918459
"Tnf","Condition_A",-0.3733,0.974424908177987
"Nfkbia","Condition_A",0.3142,0.974424908177987
"Socs3","Condition_A",1.4656,0.996719934674911
"Icam1","Condition_A",0.0797,0.974424908177987
"Jun","Condition_A",1.1152,0.974424908177987
"Fos","Condition_A",-1.4801,0.974424908177987
"Stat3","Condition_A",1.3017,0.996719934674911
"Ptgs2","Condition_A",-0.6215,0.974424908177987
"Cxcl1","Condition_A",-0.2488,0.974424908177987
"Il1b","Condition_A",-0.9985,0.974424908177987
"Tlr2","Condition_A",0.1205,0.974424908177987
"LOC109280139","Condition_A",-2.6397,0.204491930219186
"Gm36476","Condition_A",2.1799,0.974424908177987
"LOC132410014","Condition_A",-0.9691,0.974424908177987
"LOC131297337","Condition_A",0.4373,0.974424908177987
"Gm12470","Condition_A",1.2497,0.974424908177987
"Mir6959","Condition_A",-0.1761,0.974424908177987
"D16Mit15","Condition_A",-0.1964,0.999471265822649
"LOC110120508","Condition_A",-0.2743,0.974424908177987
"LOC131296211","Condition_A",0.538,0.996719934674911
"LOC132412716","Condition_A",1.2577,0.974424908177987
"D2Mit84","Condition_A",0.6189,0.974424908177987
"Gm22657","Condition_A",0.2882,0.974424908177987
"Gm14443","Condition_A",-2.2895,0.167068610414118
"Gm45945","Condition_A",0.4485,0.974424908177987
"Gm36852","Condition_A",-0.4946,0.974424908177987
"Gm36638","Condition_A",-0.2513,0.974424908177987
"Dpf3","Condition_A",0.9869,0.974424908177987
"LOC132443524","Condition_A",0.3978,0.974424908177987
"Lhfpl4","Condition_A",0.2169,0.996719934674911
"LOC132445372","Condition_A",-0.23,0.974424908177987
"LOC132443987","Condition_A",0.8379,0.974424908177987
"LOC131379723","Condition_A",1.2014,0.974424908177987
"D10Mit216","Condition_A",-0.7823,0.974424908177987
"Vmn2r73","Condition_A",0.0499,0.974424908177987
"Gm52033","Condition_A",0.0442,0.974424908177987
"LOC132440556","Condition_A",-0.5205,0.974424908177987
"LOC131339780","Condition_A",-0.8989,0.974424908177987
"LOC131372402","Condition_A",-0.0022,0.974424908177987
"LOC131297718","Condition_A",0.59,0.974424908177987
"LOC131392458","Condition_A",1.3292,0.974424908177987
"Sipa1l1","Condition_A",-1.7182,0.974424908177987
"Adra1d","Condition_A",-0.6322,0.974424908177987
"LOC131337711","Condition_A",-0.2803,0.974424908177987
"Gm12312","Condition_A",-1.4968,0.974424908177987
"LOC128927439","Condition_A",-0.6755,0.974424908177987
"Gins4","Condition_A",-0.6996,0.974424908177987
"Acadvl","Condition_A",-0.6503,0.974424908177987
"LOC109279869","Condition_A",1.9467,0.178406671890989
"Gm6221","Condition_A",0.1921,0.974424908177987
"LOC132444008","Condition_A",-0.5687,0.974424908177987
"LOC131341594","Condition_A",1.3684,0.974424908177987
"Slc5a9","Condition_A",-1.881,0.124615753922844
"Gm23953","Condition_A",-1.3082,0.974424908177987
"Gm52547","Condition_A",0.0886,0.974424908177987
"LOC131390711","Condition_A",-0.5344,0.974424908177987
"LOC132411212","Condition_A",-1.9622,0.200708313049349
"Tlr8","Condition_A",0.0478,0.995768770145188
