Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,model_id,contrast_name,comparison_label,padj_plot,log_padj,significant,direction
Ifit1,2318.644155429814,4.580321076409071,0.20010516840666193,22.88956908449638,5.902122717440832e-116,2.086990592887078e-112,Brain,Treatment vs Control,Brain | Treatment vs Control,2.086990592887078e-112,111.6804795085131,TRUE,Up
Tnf,4636.250316798949,3.541403117488135,0.16916742845138416,20.93430839439564,2.6082262021690605e-97,4.611343925434899e-94,Brain,Treatment vs Control,Brain | Treatment vs Control,4.611343925434899e-94,93.33617248581606,TRUE,Up
Gene_1569,1761.162554230783,3.518893914425093,0.17498578270522785,20.10959896297885,6.081350600280773e-90,7.167885240864272e-87,Brain,Treatment vs Control,Brain | Treatment vs Control,7.167885240864272e-87,86.14460895642327,TRUE,Up
Stat1,12855.459457705516,4.238166054702164,0.21330634656732397,19.868916808645025,7.561695699700083e-88,6.234427318926799e-85,Brain,Treatment vs Control,Brain | Treatment vs Control,6.234427318926799e-85,84.20520343370953,TRUE,Up
Gene_0706,14370.011259893374,3.319943885880898,0.1671571607468327,19.861212472429507,8.81564948943269e-88,6.234427318926799e-85,Brain,Treatment vs Control,Brain | Treatment vs Control,6.234427318926799e-85,84.20520343370953,TRUE,Up
Irf9,6648.834570635517,3.2460348577000593,0.16511877576514333,19.658787092250833,4.862128225781081e-86,2.8654142343936505e-83,Brain,Treatment vs Control,Brain | Treatment vs Control,2.8654142343936505e-83,82.54281258601516,TRUE,Up
Icam1,2414.266389518862,3.376464577294513,0.17367019783297338,19.441819145860674,3.4182745227786205e-84,1.726716958935029e-81,Brain,Treatment vs Control,Brain | Treatment vs Control,1.726716958935029e-81,80.76277884555172,TRUE,Up
Ifit3,16369.540422702303,4.0111410205944775,0.21816671650574893,18.385668927133437,1.7111599052668983e-75,7.56332678127969e-73,Brain,Treatment vs Control,Brain | Treatment vs Control,7.56332678127969e-73,72.12128713506064,TRUE,Up
Gene_0211,3677.4578365790912,3.2390957930722255,0.1813533372726197,17.860690306476407,2.3866921103428348e-71,9.377048113524737e-69,Brain,Treatment vs Control,Brain | Treatment vs Control,9.377048113524737e-69,68.02793385562633,TRUE,Up
Gene_1919,2614.916545187783,3.4241813709146482,0.19191290088818844,17.84237200869384,3.31327730727008e-71,1.1715748558507002e-68,Brain,Treatment vs Control,Brain | Treatment vs Control,1.1715748558507002e-68,67.93122995764806,TRUE,Up
Gene_2931,1427.0715080324983,-3.070900350989572,0.17253966563143416,-17.798228249435645,7.29401875010132e-71,2.3446954818507514e-68,Brain,Treatment vs Control,Brain | Treatment vs Control,2.3446954818507514e-68,67.62991355343483,TRUE,Down
Gene_0939,2329.4180024465727,-3.209406317138985,0.18057523922270072,-17.77323585976742,1.1392543419861622e-70,3.3570027943858915e-68,Brain,Treatment vs Control,Brain | Treatment vs Control,3.3570027943858915e-68,67.47404829724294,TRUE,Down
Gene_3069,6295.902758836552,3.050022464718097,0.17380901621483758,17.54812570222537,6.147549934422755e-69,1.672133582162989e-66,Brain,Treatment vs Control,Brain | Treatment vs Control,1.672133582162989e-66,65.77672903091678,TRUE,Up
Ifit2,938.5822177352495,4.132587299163612,0.2360350256861178,17.508364646945136,1.2369688590704097e-68,3.124229918337835e-66,Brain,Treatment vs Control,Brain | Treatment vs Control,3.124229918337835e-66,65.5052570130178,TRUE,Up
Gene_3370,5142.43867783434,3.052500168649374,0.17439186465946072,17.503684444283373,1.342940069745883e-68,3.1657573910809614e-66,Brain,Treatment vs Control,Brain | Treatment vs Control,3.1657573910809614e-66,65.49952237050714,TRUE,Up
Gene_3224,157027.04834837472,3.052150376645862,0.17522709682809975,17.418255691584417,5.997790611172953e-68,1.3255117250692225e-65,Brain,Treatment vs Control,Brain | Treatment vs Control,1.3255117250692225e-65,64.87761642627842,TRUE,Up
Gene_0618,1423.4029743319109,3.0499619307843844,0.1777723590495061,17.156558798519573,5.614319465700362e-66,1.1677784488656754e-63,Brain,Treatment vs Control,Brain | Treatment vs Control,1.1677784488656754e-63,62.93263954383476,TRUE,Up
Gene_2920,798.5846109712827,2.999607788020867,0.17921704276079345,16.737290950752584,7.010701211096508e-63,1.3772133045798475e-60,Brain,Treatment vs Control,Brain | Treatment vs Control,1.3772133045798475e-60,59.860998790441876,TRUE,Up
Gene_3124,1009.091691635543,3.248585110483016,0.1962283730732984,16.555124315633762,1.4703744709015603e-61,2.7364442784778513e-59,Brain,Treatment vs Control,Brain | Treatment vs Control,2.7364442784778513e-59,58.562813390860036,TRUE,Up
Gene_0757,2392.329093919472,2.999019139368593,0.18217377346153674,16.46240884394806,6.832638186274586e-61,1.2080104313333468e-58,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2080104313333468e-58,57.917929315507145,TRUE,Up
Gene_0564,3120.1712339964406,3.0588941728634897,0.18627075224754833,16.421763137555324,1.3362672134942552e-60,2.2500194604360414e-58,Brain,Treatment vs Control,Brain | Treatment vs Control,2.2500194604360414e-58,57.647813725656,TRUE,Up
Gene_3176,3945.702760628642,2.628241995765346,0.16120606780288174,16.303617051059682,9.30205547133909e-60,1.4950940066661374e-57,Brain,Treatment vs Control,Brain | Treatment vs Control,1.4950940066661374e-57,56.82533149945138,TRUE,Up
Gene_3303,4196.020879403959,-2.811507262416284,0.17253163342576416,-16.295604502150628,1.060499131508888e-59,1.630402143050186e-57,Brain,Treatment vs Control,Brain | Treatment vs Control,1.630402143050186e-57,56.78770526248739,TRUE,Down
Gene_0127,842.3577762479682,3.23785345072178,0.19928453069945043,16.247389796676824,2.330787719641203e-59,3.4340272402713725e-57,Brain,Treatment vs Control,Brain | Treatment vs Control,3.4340272402713725e-57,56.464196264139396,TRUE,Up
Gene_0279,1587.0953491785997,3.0556626706209276,0.18845346252216275,16.21441511196204,3.988565488445479e-59,5.641427026857285e-57,Brain,Treatment vs Control,Brain | Treatment vs Control,5.641427026857285e-57,56.248611025183564,TRUE,Up
Irf7,2031.1152523412636,3.838739335854264,0.23840452577009572,16.1017888542776,2.4783449941126597e-58,3.3705491919932174e-56,Brain,Treatment vs Control,Brain | Treatment vs Control,3.3705491919932174e-56,55.47229933010202,TRUE,Up
Gene_1799,2358.0954098351667,2.6646441290458687,0.16838414390134787,15.824792449620542,2.0989009278035073e-56,2.7487828447085934e-54,Brain,Treatment vs Control,Brain | Treatment vs Control,2.7487828447085934e-54,53.560859568294006,TRUE,Up
Usp18,42236.210625693864,3.3068780469943126,0.20937336482520377,15.794167752689429,3.4126744757493286e-56,4.309720337946295e-54,Brain,Treatment vs Control,Brain | Treatment vs Control,4.309720337946295e-54,53.36555091072728,TRUE,Up
Gene_2016,372.7357436500734,-3.406107514063287,0.21575289976805648,-15.787076408822301,3.8187325428382535e-56,4.656220093612436e-54,Brain,Treatment vs Control,Brain | Treatment vs Control,4.656220093612436e-54,53.33196649932418,TRUE,Down
Gene_1934,1295.6134635459562,2.9752017313128865,0.18983456823694694,15.67260251357019,2.328465189306174e-55,2.744484303128877e-53,Brain,Treatment vs Control,Brain | Treatment vs Control,2.744484303128877e-53,52.56153924878982,TRUE,Up
