Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,model_id,contrast_name,comparison_label,padj_plot,log_padj,significant,direction
Stat1,9446.279738554646,3.5776461403351916,0.15734480290038363,22.737618748044895,1.902769284437814e-114,6.728192189772111e-111,Lung,Treatment vs Control,Lung | Treatment vs Control,6.728192189772111e-111,110.17210161147807,TRUE,Up
Ifit3,12193.658937322743,3.6040728956253387,0.16560961996361104,21.762460999652387,5.2645837565460845e-105,9.307784081573478e-102,Lung,Treatment vs Control,Lung | Treatment vs Control,9.307784081573478e-102,101.03115369986627,TRUE,Up
Usp18,32959.77327228641,3.252261963627179,0.1544212246713241,21.060977663850384,1.813926547804394e-98,2.1380147576787792e-95,Lung,Treatment vs Control,Lung | Treatment vs Control,2.1380147576787792e-95,94.66998930139275,TRUE,Up
Ifit1,1785.7748865423414,3.943558074106444,0.19439349623043622,20.28647125844018,1.6932072671192405e-91,1.4967952241334086e-88,Lung,Treatment vs Control,Lung | Treatment vs Control,1.4967952241334086e-88,87.82483761122144,TRUE,Up
Gene_3224,193715.57042563043,3.2918486967581644,0.17038687199602146,19.319849341650155,3.657162715367842e-83,2.586345472308138e-80,Lung,Treatment vs Control,Lung | Treatment vs Control,2.586345472308138e-80,79.58731346449197,TRUE,Up
Gene_1609,1103.83963897983,-3.31232100838141,0.17444844559612244,-18.987391931539428,2.168335760707907e-80,1.27787254164386e-77,Lung,Treatment vs Control,Lung | Treatment vs Control,1.27787254164386e-77,76.89351246168721,TRUE,Down
Tnf,4668.322129863966,3.2399182087250256,0.17338945661757707,18.685785583092855,6.462056179729577e-78,3.264261521646255e-75,Lung,Treatment vs Control,Lung | Treatment vs Control,3.264261521646255e-75,74.48621505431217,TRUE,Up
Gene_2339,1850.5928364161873,3.296760052376563,0.1789646435440022,18.421292536287957,8.866088350427716e-76,3.9188110508890505e-73,Lung,Treatment vs Control,Lung | Treatment vs Control,3.9188110508890505e-73,72.40684567592851,TRUE,Up
Gene_1934,1441.9320519622815,3.2680641241935824,0.17846473635840915,18.3121001430241,6.626405818916549e-75,2.343097097568892e-72,Lung,Treatment vs Control,Lung | Treatment vs Control,2.343097097568892e-72,71.63020971393627,TRUE,Up
Gene_1134,2006.3912287021894,3.07651098182298,0.16796888210037553,18.315957952167032,6.173099795570521e-75,2.343097097568892e-72,Lung,Treatment vs Control,Lung | Treatment vs Control,2.343097097568892e-72,71.63020971393627,TRUE,Up
Gene_2641,2283.6620647046425,2.997820271765917,0.1638270969326111,18.298683965565505,8.477194303869744e-75,2.72503264168031e-72,Lung,Treatment vs Control,Lung | Treatment vs Control,2.72503264168031e-72,71.56462829117936,TRUE,Up
Gene_3124,1083.1172389958836,3.2154162182043136,0.1859691262836734,17.290053905504642,5.589997667243663e-67,1.6471859792811328e-64,Lung,Treatment vs Control,Lung | Treatment vs Control,1.6471859792811328e-64,63.78325736305512,TRUE,Up
Gene_3370,4973.485778768617,2.8696383300714676,0.16635057851138416,17.25054614027137,1.1084662035775701e-66,3.0150280737309906e-64,Lung,Treatment vs Control,Lung | Treatment vs Control,3.0150280737309906e-64,63.52070863967319,TRUE,Up
Gene_0706,12878.021647824946,3.044299906317477,0.1768346631466678,17.215515624289768,2.0313051451008208e-66,5.130496423626073e-64,Lung,Treatment vs Control,Lung | Treatment vs Control,5.130496423626073e-64,63.28984061079252,TRUE,Up
