Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,model_id,contrast_name,comparison_label,padj_plot,log_padj,significant,direction
Stat1,12855.459457705516,4.238166054702164,0.21330634656732397,19.868916808645025,7.561695699700083e-88,6.234427318926799e-85,Brain,Treatment vs Control,Brain | Treatment vs Control,6.234427318926799e-85,84.20520343370953,TRUE,Up
Stat2,226.77067476446206,3.626494071776193,0.2834928671238846,12.792188066557026,1.812966284735511e-37,6.819839130664645e-36,Brain,Treatment vs Control,Brain | Treatment vs Control,6.819839130664645e-36,35.16622586955007,TRUE,Up
Irf7,2031.1152523412636,3.838739335854264,0.23840452577009572,16.1017888542776,2.4783449941126597e-58,3.3705491919932174e-56,Brain,Treatment vs Control,Brain | Treatment vs Control,3.3705491919932174e-56,55.47229933010202,TRUE,Up
Isg15,1289.7773971023769,2.5701493046496884,0.22381509252540502,11.483360106101662,1.5994151489191948e-30,4.252279674119002e-29,Brain,Treatment vs Control,Brain | Treatment vs Control,4.252279674119002e-29,28.371378179489227,TRUE,Up
Ifit1,2318.644155429814,4.580321076409071,0.20010516840666193,22.88956908449638,5.902122717440832e-116,2.086990592887078e-112,Brain,Treatment vs Control,Brain | Treatment vs Control,2.086990592887078e-112,111.6804795085131,TRUE,Up
Ifit2,938.5822177352495,4.132587299163612,0.2360350256861178,17.508364646945136,1.2369688590704097e-68,3.124229918337835e-66,Brain,Treatment vs Control,Brain | Treatment vs Control,3.124229918337835e-66,65.5052570130178,TRUE,Up
Ifit3,16369.540422702303,4.0111410205944775,0.21816671650574893,18.385668927133437,1.7111599052668983e-75,7.56332678127969e-73,Brain,Treatment vs Control,Brain | Treatment vs Control,7.56332678127969e-73,72.12128713506064,TRUE,Up
Mx1,377.67753715022695,2.4564810908241195,0.2629939125506509,9.340448480346545,9.592692137601753e-21,1.4683878527515064e-19,Brain,Treatment vs Control,Brain | Treatment vs Control,1.4683878527515064e-19,18.833159216857243,TRUE,Up
Oas1a,18642.53946869304,2.8744090569360687,0.187968969634159,15.291933889569567,8.654162811974015e-53,9.000329324452975e-51,Brain,Treatment vs Control,Brain | Treatment vs Control,9.000329324452975e-51,50.045741599318895,TRUE,Up
Oas2,508.08871515932157,2.9489552863223603,0.20648616329843084,14.281612090686613,2.8493303523464024e-46,1.7675845834906805e-44,Brain,Treatment vs Control,Brain | Treatment vs Control,1.7675845834906805e-44,43.752619794920406,TRUE,Up
Irf9,6648.834570635517,3.2460348577000593,0.16511877576514333,19.658787092250833,4.862128225781081e-86,2.8654142343936505e-83,Brain,Treatment vs Control,Brain | Treatment vs Control,2.8654142343936505e-83,82.54281258601516,TRUE,Up
Usp18,42236.210625693864,3.3068780469943126,0.20937336482520377,15.794167752689429,3.4126744757493286e-56,4.309720337946295e-54,Brain,Treatment vs Control,Brain | Treatment vs Control,4.309720337946295e-54,53.36555091072728,TRUE,Up
B2m,93.47391456695014,3.735398698026339,0.37038259177495814,10.085243693893531,6.420566692788873e-24,1.2012234828413468e-22,Brain,Treatment vs Control,Brain | Treatment vs Control,1.2012234828413468e-22,21.9203761863226,TRUE,Up
Mki67,44.884223664074604,-2.626250137596875,0.41595455180676383,-6.313791076908152,2.722814660563675e-10,2.5951139190709312e-9,Brain,Treatment vs Control,Brain | Treatment vs Control,2.5951139190709312e-9,8.5858435729454,TRUE,Down
