sample_name,tissue,pair_id,group,sample_id,alternate_id,batch,matched_sample_id,library_size_raw,library_size_filtered
Brain_Pair_1_Control,Brain,Pair_1,Control,Brain_Pair_1_Control,s01,Batch_1,Brain_Pair_1_Control,1912137,1912137
Brain_Pair_1_Treatment,Brain,Pair_1,Treatment,Brain_Pair_1_Treatment,s02,Batch_2,Brain_Pair_1_Treatment,2583057,2583057
Brain_Pair_2_Control,Brain,Pair_2,Control,Brain_Pair_2_Control,s03,Batch_1,Brain_Pair_2_Control,2188892,2188892
Brain_Pair_2_Treatment,Brain,Pair_2,Treatment,Brain_Pair_2_Treatment,s04,Batch_2,Brain_Pair_2_Treatment,2982822,2982822
Brain_Pair_3_Control,Brain,Pair_3,Control,Brain_Pair_3_Control,s05,Batch_1,Brain_Pair_3_Control,2274100,2274100
Brain_Pair_3_Treatment,Brain,Pair_3,Treatment,Brain_Pair_3_Treatment,s06,Batch_2,Brain_Pair_3_Treatment,3092151,3092151
Brain_Pair_4_Control,Brain,Pair_4,Control,Brain_Pair_4_Control,s07,Batch_1,Brain_Pair_4_Control,2283891,2283891
Brain_Pair_4_Treatment,Brain,Pair_4,Treatment,Brain_Pair_4_Treatment,s08,Batch_2,Brain_Pair_4_Treatment,3167652,3167652
Lung_Pair_1_Control,Lung,Pair_1,Control,Lung_Pair_1_Control,s09,Batch_1,Lung_Pair_1_Control,2049700,2049700
Lung_Pair_1_Treatment,Lung,Pair_1,Treatment,Lung_Pair_1_Treatment,s10,Batch_2,Lung_Pair_1_Treatment,2844910,2844910
Lung_Pair_2_Control,Lung,Pair_2,Control,Lung_Pair_2_Control,s11,Batch_1,Lung_Pair_2_Control,2351494,2351494
Lung_Pair_2_Treatment,Lung,Pair_2,Treatment,Lung_Pair_2_Treatment,s12,Batch_2,Lung_Pair_2_Treatment,3083604,3083604
Lung_Pair_3_Control,Lung,Pair_3,Control,Lung_Pair_3_Control,s13,Batch_1,Lung_Pair_3_Control,2496510,2496510
Lung_Pair_3_Treatment,Lung,Pair_3,Treatment,Lung_Pair_3_Treatment,s14,Batch_2,Lung_Pair_3_Treatment,3265377,3265377
Lung_Pair_4_Control,Lung,Pair_4,Control,Lung_Pair_4_Control,s15,Batch_1,Lung_Pair_4_Control,2456933,2456933
Lung_Pair_4_Treatment,Lung,Pair_4,Treatment,Lung_Pair_4_Treatment,s16,Batch_2,Lung_Pair_4_Treatment,3504518,3504518
