"tissue","pair_id","group","sample_id","alternate_id","batch"
"Brain","Pair_1","Control","Brain_Pair_1_Control","s01","Batch_1"
"Brain","Pair_1","Treatment","Brain_Pair_1_Treatment","s02","Batch_2"
"Brain","Pair_2","Control","Brain_Pair_2_Control","s03","Batch_1"
"Brain","Pair_2","Treatment","Brain_Pair_2_Treatment","s04","Batch_2"
"Brain","Pair_3","Control","Brain_Pair_3_Control","s05","Batch_1"
"Brain","Pair_3","Treatment","Brain_Pair_3_Treatment","s06","Batch_2"
"Brain","Pair_4","Control","Brain_Pair_4_Control","s07","Batch_1"
"Brain","Pair_4","Treatment","Brain_Pair_4_Treatment","s08","Batch_2"
"Lung","Pair_1","Control","Lung_Pair_1_Control","s09","Batch_1"
"Lung","Pair_1","Treatment","Lung_Pair_1_Treatment","s10","Batch_2"
"Lung","Pair_2","Control","Lung_Pair_2_Control","s11","Batch_1"
"Lung","Pair_2","Treatment","Lung_Pair_2_Treatment","s12","Batch_2"
"Lung","Pair_3","Control","Lung_Pair_3_Control","s13","Batch_1"
"Lung","Pair_3","Treatment","Lung_Pair_3_Treatment","s14","Batch_2"
"Lung","Pair_4","Control","Lung_Pair_4_Control","s15","Batch_1"
"Lung","Pair_4","Treatment","Lung_Pair_4_Treatment","s16","Batch_2"
