Threshold,Segment,Metric,Statistic,p-value,BH_FDR,Significant
1%,S,"Nucleotide (per 1,000 bp)",1.5857,0.4526,0.9222,False
1%,S,Amino acid (per 100 aa),0.9485,0.6223,0.9222,False
1%,M,"Nucleotide (per 1,000 bp)",0.2406,0.8867,0.9222,False
1%,M,Amino acid (per 100 aa),0.3942,0.8211,0.9222,False
2%,S,"Nucleotide (per 1,000 bp)",0.3483,0.8402,0.9222,False
2%,S,Amino acid (per 100 aa),0.1621,0.9222,0.9222,False
2%,M,"Nucleotide (per 1,000 bp)",1.6571,0.4367,0.9222,False
2%,M,Amino acid (per 100 aa),2.9753,0.2259,0.9222,False
5%,S,"Nucleotide (per 1,000 bp)",0.8281,0.661,0.9222,False
5%,S,Amino acid (per 100 aa),0.6719,0.7146,0.9222,False
5%,M,"Nucleotide (per 1,000 bp)",1.4841,0.4761,0.9222,False
5%,M,Amino acid (per 100 aa),1.7636,0.414,0.9222,False
