Segment,Threshold,Source,Mutations_per_1000bp_mean,Mutations_per_1000bp_std,Mutations_per_100aa_mean,Mutations_per_100aa_std
M,1%,Lung,3.175,0.744,0.852,0.206
M,1%,Saliva,3.447,0.872,0.954,0.322
M,1%,Urine,3.129,0.59,0.866,0.141
M,2%,Lung,1.587,0.205,0.441,0.079
M,2%,Saliva,1.905,0.298,0.529,0.079
M,2%,Urine,1.406,0.469,0.308,0.121
M,5%,Lung,1.134,0.205,0.308,0.048
M,5%,Saliva,0.907,0.141,0.235,0.072
M,5%,Urine,1.406,0.318,0.382,0.107
S,1%,Lung,4.206,0.744,2.037,0.574
S,1%,Saliva,2.804,1.618,1.296,0.818
S,1%,Urine,3.505,1.136,1.574,0.673
S,2%,Lung,2.629,0.665,1.157,0.325
S,2%,Saliva,1.928,0.859,0.88,0.409
S,2%,Urine,2.366,1.09,1.157,0.539
S,5%,Lung,0.964,0.215,0.417,0.232
S,5%,Saliva,1.314,0.44,0.694,0.232
S,5%,Urine,1.928,0.429,0.926,0.227
