"Gene","Module"
"Blue_G59","turquoise"
"Blue_G45","turquoise"
"Blue_G56","turquoise"
"Blue_G28","turquoise"
"Blue_G21","turquoise"
"Blue_G68","turquoise"
"Blue_G19","turquoise"
"Yellow_G28","blue"
"Blue_G36","turquoise"
"Blue_G38","turquoise"
"Blue_G73","turquoise"
"Blue_G87","turquoise"
"Yellow_G11","blue"
"Blue_G52","turquoise"
"Blue_G31","turquoise"
"Green_G44","yellow"
"Green_G20","yellow"
"Yellow_G63","blue"
"Yellow_G18","blue"
"Blue_G99","turquoise"
"Blue_G2","turquoise"
"Green_G62","yellow"
"Yellow_G60","blue"
"Blue_G58","turquoise"
"Yellow_G61","blue"
"Blue_G81","turquoise"
"Yellow_G53","blue"
"Blue_G11","turquoise"
"Yellow_G44","blue"
"Blue_G51","turquoise"
"Yellow_G49","blue"
"Blue_G63","turquoise"
"Blue_G85","turquoise"
"Green_G18","yellow"
"Green_G27","yellow"
"Green_G38","yellow"
"Yellow_G41","blue"
"Yellow_G71","blue"
"Yellow_G47","blue"
"Yellow_G73","blue"
"Yellow_G79","blue"
"Yellow_G56","blue"
"Green_G4","yellow"
"Yellow_G26","blue"
"Blue_G46","turquoise"
"Blue_G90","turquoise"
"Yellow_G36","blue"
"Yellow_G70","blue"
"Green_G23","yellow"
"Green_G17","yellow"
"Blue_G15","turquoise"
"Blue_G49","turquoise"
"Green_G57","yellow"
"Green_G60","yellow"
"Green_G28","yellow"
"Yellow_G76","brown"
"Blue_G91","turquoise"
"Blue_G32","turquoise"
"Blue_G24","turquoise"
"Green_G59","yellow"
"Turq_G95","yellow"
"Blue_G82","turquoise"
"Blue_G17","turquoise"
"Yellow_G51","blue"
"Green_G16","yellow"
"Blue_G97","brown"
"Green_G54","yellow"
"Blue_G53","turquoise"
"Yellow_G1","blue"
"Blue_G23","brown"
"Blue_G14","turquoise"
"Yellow_G48","blue"
"Red_G74","green"
"Yellow_G37","blue"
"Yellow_G19","brown"
"Green_G61","yellow"
"Blue_G60","brown"
"Blue_G8","turquoise"
"Blue_G12","brown"
"Blue_G84","brown"
"Yellow_G29","blue"
"Yellow_G3","brown"
"Blue_G25","turquoise"
"Blue_G7","turquoise"
"Blue_G95","turquoise"
"Green_G68","yellow"
"Yellow_G31","blue"
"Yellow_G8","blue"
"Turq_G91","yellow"
"Green_G41","yellow"
"Green_G46","yellow"
"Blue_G75","turquoise"
"Turq_G70","yellow"
"Turq_G89","yellow"
"Blue_G57","brown"
"Green_G70","yellow"
"Yellow_G34","blue"
"Green_G29","yellow"
"Blue_G10","turquoise"
"Turq_G11","yellow"
"Blue_G44","turquoise"
"Green_G13","yellow"
"Yellow_G20","blue"
"Green_G74","yellow"
"Blue_G67","turquoise"
"Blue_G71","turquoise"
"Blue_G69","turquoise"
"Blue_G3","turquoise"
"Red_G77","green"
"Green_G56","yellow"
"Green_G19","yellow"
"Green_G45","yellow"
"Blue_G96","turquoise"
"Yellow_G16","blue"
"Green_G39","yellow"
"Yellow_G52","yellow"
"Turq_G32","yellow"
"Green_G67","yellow"
"Blue_G27","turquoise"
"Green_G55","yellow"
"Yellow_G14","blue"
"Red_G69","green"
"Blue_G94","turquoise"
"Blue_G65","turquoise"
"Blue_G98","turquoise"
"Yellow_G13","blue"
"Blue_G48","turquoise"
"Turq_G69","yellow"
"Yellow_G30","blue"
"Turq_G72","yellow"
"Green_G24","yellow"
"Turq_G26","yellow"
"Yellow_G65","blue"
"Green_G11","yellow"
"Turq_G65","yellow"
"Green_G71","yellow"
"Green_G21","yellow"
"Blue_G34","turquoise"
"Green_G12","yellow"
"Blue_G93","turquoise"
"Blue_G13","brown"
"Turq_G24","yellow"
"Blue_G79","turquoise"
"Blue_G55","brown"
"Turq_G45","yellow"
"Green_G2","yellow"
"Green_G26","yellow"
"Green_G79","yellow"
"Red_G78","green"
"Blue_G47","brown"
"Blue_G33","turquoise"
"Yellow_G40","blue"
"Green_G3","yellow"
"Blue_G54","turquoise"
"Turq_G18","yellow"
"Turq_G99","yellow"
"Yellow_G69","blue"
"Green_G66","yellow"
"Red_G49","green"
"Green_G48","yellow"
"Turq_G88","yellow"
"Green_G80","yellow"
"Yellow_G27","blue"
"Red_G34","green"
"Red_G43","green"
"Green_G43","brown"
"Green_G76","yellow"
"Red_G75","green"
"Turq_G60","yellow"
"Red_G25","green"
"Turq_G76","yellow"
"Yellow_G6","blue"
"Green_G30","yellow"
"Green_G64","yellow"
"Turq_G61","yellow"
"Green_G63","yellow"
"Blue_G100","turquoise"
"Blue_G43","turquoise"
"Green_G33","yellow"
"Blue_G1","turquoise"
"Red_G68","green"
"Yellow_G9","blue"
"Turq_G43","yellow"
"Green_G15","yellow"
"Red_G41","green"
"Turq_G66","yellow"
"Blue_G76","turquoise"
"Turq_G21","yellow"
"Yellow_G7","blue"
"Yellow_G50","blue"
"Red_G59","green"
"Red_G3","green"
"Turq_G97","yellow"
"Turq_G98","yellow"
"Blue_G50","turquoise"
"Red_G65","green"
"Green_G10","yellow"
"Green_G22","yellow"
"Turq_G77","yellow"
"Turq_G87","yellow"
"Yellow_G46","blue"
"Red_G8","green"
"Green_G40","yellow"
"Turq_G51","yellow"
"Blue_G66","turquoise"
"Yellow_G55","blue"
"Yellow_G64","blue"
"Blue_G29","brown"
"Green_G73","yellow"
"Blue_G80","turquoise"
"Turq_G56","yellow"
"Red_G47","green"
"Green_G78","brown"
"Yellow_G77","blue"
"Yellow_G35","brown"
"Turq_G64","yellow"
"Red_G66","green"
"Turq_G17","yellow"
"Turq_G92","yellow"
"Turq_G96","yellow"
"Turq_G79","yellow"
"Red_G72","green"
"Yellow_G67","blue"
"Yellow_G59","blue"
"Green_G75","brown"
"Turq_G62","yellow"
"Green_G35","yellow"
"Turq_G3","yellow"
"Turq_G40","yellow"
"Turq_G68","yellow"
"Turq_G52","yellow"
"Blue_G86","brown"
"Yellow_G57","blue"
"Turq_G10","yellow"
"Red_G35","green"
"Red_G7","green"
"Yellow_G54","blue"
"Turq_G73","yellow"
"Green_G77","brown"
"Green_G5","yellow"
"Turq_G9","yellow"
"Turq_G22","yellow"
"Yellow_G4","blue"
"Turq_G28","yellow"
"Turq_G15","yellow"
"Green_G34","yellow"
"Turq_G13","yellow"
"Green_G51","yellow"
"Red_G12","green"
"Red_G61","green"
"Red_G56","green"
"Green_G7","yellow"
"Blue_G70","brown"
"Turq_G59","yellow"
"Green_G65","yellow"
"Red_G44","green"
"Red_G62","green"
"Turq_G54","yellow"
"Turq_G12","yellow"
"Blue_G40","turquoise"
"Green_G31","yellow"
"Yellow_G5","blue"
"Red_G31","green"
"Blue_G64","turquoise"
"Red_G28","green"
"Blue_G42","turquoise"
"Turq_G29","yellow"
"Turq_G47","yellow"
"Blue_G37","brown"
"Yellow_G78","blue"
"Yellow_G62","blue"
"Red_G9","green"
"Green_G50","yellow"
"Red_G54","green"
"Yellow_G21","blue"
"Turq_G49","yellow"
"SIM_VIRUS","yellow"
