Gene,Comparison,log2FoldChange,padj,stat
Ifit1,Treatment_24h_vs_Control,2.4927,4.804e-07,5.0843
Isg15,Treatment_24h_vs_Control,2.9898,4.315e-06,7.3682
Mx1,Treatment_24h_vs_Control,1.9611,5.969e-07,6.5199
Oas1,Treatment_24h_vs_Control,2.654,5.538e-07,5.3953
Cxcl10,Treatment_24h_vs_Control,1.752,4.748e-07,7.1545
Irf7,Treatment_24h_vs_Control,2.7663,1.918e-06,7.8572
Tnf,Treatment_24h_vs_Control,-0.2947,0.4552,-1.0589
Ccl2,Treatment_24h_vs_Control,0.5692,0.477,1.865
Ptgs2,Treatment_24h_vs_Control,0.643,0.6845,1.5832
Icam1,Treatment_24h_vs_Control,0.5374,0.8524,1.626
Vcam1,Treatment_24h_vs_Control,-0.3425,0.4558,-0.8409
Vegfa,Treatment_24h_vs_Control,0.3246,0.1254,0.9276
Nos2,Treatment_24h_vs_Control,-0.4043,0.1381,-0.9689
Angpt2,Treatment_24h_vs_Control,-0.0906,0.1278,-0.2397
Thbd,Treatment_24h_vs_Control,-2.1236,1.173e-05,-7.8467
Mmp3,Treatment_24h_vs_Control,0.2356,0.6884,0.5558
Mmp9,Treatment_24h_vs_Control,0.1033,0.4211,0.2565
Col4a1,Treatment_24h_vs_Control,-0.5222,0.847,-1.7001
Spp1,Treatment_24h_vs_Control,0.0823,0.8421,0.199
Itgam,Treatment_24h_vs_Control,-0.02,0.1898,-0.0874
Lyz2,Treatment_24h_vs_Control,-0.0449,0.407,-0.0926
S100a9,Treatment_24h_vs_Control,0.6104,0.2187,1.4617
Stat1,Treatment_24h_vs_Control,-0.605,0.7628,-1.3547
Irf1,Treatment_24h_vs_Control,0.0649,0.2684,0.1469
Nfkb1,Treatment_24h_vs_Control,-0.2388,0.7327,-0.5082
Rela,Treatment_24h_vs_Control,-0.8917,0.2357,-1.8273
Jun,Treatment_24h_vs_Control,0.3117,0.8541,0.991
Fos,Treatment_24h_vs_Control,0.5172,0.692,1.6259
Hif1a,Treatment_24h_vs_Control,0.2337,0.1677,0.7842
Spi1,Treatment_24h_vs_Control,0.0885,0.8979,0.3052
Ets1,Treatment_24h_vs_Control,-0.1751,0.2897,-0.6965
Klf2,Treatment_24h_vs_Control,-1.1718,0.000634,-3.7878
Mapk1,Treatment_24h_vs_Control,0.5403,0.8567,2.4186
Ikbkb,Treatment_24h_vs_Control,0.3703,0.6454,0.8052
Jak1,Treatment_24h_vs_Control,-0.5647,0.7875,-1.9691
Pik3ca,Treatment_24h_vs_Control,0.1495,0.3468,0.3692
Mapk14,Treatment_24h_vs_Control,-0.5273,0.3975,-1.0932
Ifit1,Treatment_48h_vs_Control,-0.1799,0.3592,-0.4387
Isg15,Treatment_48h_vs_Control,0.3584,0.1651,1.2722
Mx1,Treatment_48h_vs_Control,-0.281,0.175,-1.0747
Oas1,Treatment_48h_vs_Control,0.2996,0.427,0.8677
Cxcl10,Treatment_48h_vs_Control,0.2829,0.672,0.6909
Irf7,Treatment_48h_vs_Control,-0.1646,0.6702,-0.4402
Tnf,Treatment_48h_vs_Control,1.8349,8.137e-06,5.9355
Ccl2,Treatment_48h_vs_Control,2.6301,3.73e-05,9.1513
Ptgs2,Treatment_48h_vs_Control,2.2809,3.91e-06,7.5245
Icam1,Treatment_48h_vs_Control,1.7087,1.492e-07,3.4312
Vcam1,Treatment_48h_vs_Control,2.7229,3.433e-06,6.6957
Vegfa,Treatment_48h_vs_Control,2.04,3.064e-05,4.1955
Nos2,Treatment_48h_vs_Control,2.7712,4.247e-06,5.5939
Angpt2,Treatment_48h_vs_Control,-0.3955,0.8853,-1.6737
Thbd,Treatment_48h_vs_Control,-1.8264,8.019e-05,-6.1545
Mmp3,Treatment_48h_vs_Control,2.5439,3.177e-07,5.9271
Mmp9,Treatment_48h_vs_Control,2.8936,1.643e-07,6.9929
Col4a1,Treatment_48h_vs_Control,-0.0643,0.6937,-0.1303
Spp1,Treatment_48h_vs_Control,0.6385,0.7824,2.0276
Itgam,Treatment_48h_vs_Control,2.7085,3.264e-07,6.4516
Lyz2,Treatment_48h_vs_Control,2.2549,8.475e-07,7.8628
S100a9,Treatment_48h_vs_Control,1.9643,6.128e-05,7.9556
Stat1,Treatment_48h_vs_Control,0.0326,0.2512,0.0768
Irf1,Treatment_48h_vs_Control,0.2923,0.6075,0.7197
Nfkb1,Treatment_48h_vs_Control,0.3978,0.1514,1.4572
Rela,Treatment_48h_vs_Control,-0.2881,0.5487,-0.6855
Jun,Treatment_48h_vs_Control,0.4694,0.3082,1.2162
Fos,Treatment_48h_vs_Control,-0.2637,0.8958,-0.8419
Hif1a,Treatment_48h_vs_Control,0.8839,0.5988,2.4921
Spi1,Treatment_48h_vs_Control,-0.4088,0.227,-1.6291
Ets1,Treatment_48h_vs_Control,0.5984,0.7115,1.2013
Klf2,Treatment_48h_vs_Control,-1.6071,0.0009718,-4.8288
Mapk1,Treatment_48h_vs_Control,0.1574,0.2311,0.665
Ikbkb,Treatment_48h_vs_Control,-0.1317,0.9386,-0.4343
Jak1,Treatment_48h_vs_Control,0.5377,0.3152,1.2726
Pik3ca,Treatment_48h_vs_Control,-0.4396,0.2457,-0.9579
Mapk14,Treatment_48h_vs_Control,0.3711,0.8831,0.8602
Ifit1,Recovery_96h_vs_Control,-1.2239,4.625e-05,-5.3427
Isg15,Recovery_96h_vs_Control,-0.325,0.5096,-1.1771
Mx1,Recovery_96h_vs_Control,0.9045,0.2455,3.4005
Oas1,Recovery_96h_vs_Control,-0.9518,0.8536,-2.2024
Cxcl10,Recovery_96h_vs_Control,-1.4305,2.408e-05,-3.2682
Irf7,Recovery_96h_vs_Control,0.3836,0.3059,1.0447
Tnf,Recovery_96h_vs_Control,0.9292,0.2266,2.4076
Ccl2,Recovery_96h_vs_Control,0.1984,0.6696,0.4956
Ptgs2,Recovery_96h_vs_Control,-0.1783,0.7776,-0.3693
Icam1,Recovery_96h_vs_Control,-1.5903,0.0009106,-3.4726
Vcam1,Recovery_96h_vs_Control,-0.3936,0.1661,-0.9646
Vegfa,Recovery_96h_vs_Control,0.5557,0.4282,1.21
Nos2,Recovery_96h_vs_Control,0.36,0.1571,0.7422
Angpt2,Recovery_96h_vs_Control,1.713,1.579e-07,7.7608
Thbd,Recovery_96h_vs_Control,1.8319,0.0002828,4.0363
Mmp3,Recovery_96h_vs_Control,2.9794,4.489e-07,7.2219
Mmp9,Recovery_96h_vs_Control,2.8031,3.501e-05,9.4859
Col4a1,Recovery_96h_vs_Control,3.0577,3.54e-05,7.4286
Spp1,Recovery_96h_vs_Control,2.0626,2.459e-06,4.7723
Itgam,Recovery_96h_vs_Control,-0.5179,0.8834,-1.5335
Lyz2,Recovery_96h_vs_Control,-0.0533,0.8329,-0.2287
S100a9,Recovery_96h_vs_Control,-0.698,0.1289,-1.682
Stat1,Recovery_96h_vs_Control,-0.1352,0.3574,-0.3421
Irf1,Recovery_96h_vs_Control,-0.1742,0.9033,-0.605
Nfkb1,Recovery_96h_vs_Control,-0.1705,0.2333,-0.4957
Rela,Recovery_96h_vs_Control,0.1914,0.7521,0.7739
Jun,Recovery_96h_vs_Control,0.0813,0.5693,0.1737
Fos,Recovery_96h_vs_Control,-0.7914,0.8091,-2.9743
Hif1a,Recovery_96h_vs_Control,0.2365,0.1835,0.538
Spi1,Recovery_96h_vs_Control,0.5883,0.7128,1.6217
Ets1,Recovery_96h_vs_Control,-0.656,0.915,-1.5357
Klf2,Recovery_96h_vs_Control,0.0804,0.1652,0.1881
Mapk1,Recovery_96h_vs_Control,-0.988,0.6049,-4.4195
Ikbkb,Recovery_96h_vs_Control,-0.024,0.5592,-0.0636
Jak1,Recovery_96h_vs_Control,0.7136,0.3585,1.8842
Pik3ca,Recovery_96h_vs_Control,0.911,0.5785,2.1447
Mapk14,Recovery_96h_vs_Control,-0.8677,0.1925,-3.3463
