node,node_type,predicted_activity,log2FoldChange,padj,significant,fill_color,border_color
CXCL10,gene,1,2.374,0.004247,TRUE,#EBAAA4,#424242
IFIT1,gene,1,2.7982,0.004247,TRUE,#E69B95,#424242
IRF1,TF,1,0.2103,0.9152,FALSE,#E08A1E,#006D2C
IRF7,TF,1,2.2531,0.004247,TRUE,#E08A1E,#006D2C
ISG15,gene,1,1.9388,0.003739,TRUE,#F0BAB4,#424242
JAK1,intermediate,1,0.2018,0.9152,FALSE,#E08A1E,#006D2C
MX1,gene,1,2.4598,0.004247,TRUE,#EBA7A1,#424242
OAS1,gene,1,2.6131,0.001069,TRUE,#E9A29C,#424242
PERTURBATION,perturbation,1,NA,NA,NA,#E08A1E,#424242
STAT1,TF,1,-0.0537,0.9152,FALSE,#E08A1E,#006D2C
