node,predicted_activity,node_type,fill_color,border_color
ETS1,1,TF,#E08A1E,#424242
FOS,1,TF,#E08A1E,#424242
HIF1A,1,TF,#E08A1E,#424242
IKBKB,1,intermediate,#E08A1E,#424242
IRF1,1,TF,#E08A1E,#424242
IRF7,1,TF,#E08A1E,#424242
JAK1,1,intermediate,#E08A1E,#424242
JUN,1,TF,#E08A1E,#424242
KLF2,-1,TF,#1F5EA8,#424242
MAPK1,1,intermediate,#E08A1E,#424242
MAPK14,1,intermediate,#E08A1E,#424242
NFKB1,1,TF,#E08A1E,#424242
PERTURBATION,1,perturbation,#E08A1E,#424242
PIK3CA,1,intermediate,#E08A1E,#424242
RELA,1,TF,#E08A1E,#424242
SPI1,1,TF,#E08A1E,#424242
STAT1,1,TF,#E08A1E,#424242
