node,node_type,predicted_activity,log2FoldChange,padj,significant,fill_color,border_color
CXCL10,gene,1,1.752,4.748e-7,TRUE,#F2C0BB,#424242
IFIT1,gene,1,2.4927,4.804e-7,TRUE,#EAA6A0,#424242
IRF1,TF,1,0.0649,0.2684,FALSE,#E08A1E,#006D2C
IRF7,TF,1,2.7663,1.918e-6,TRUE,#E08A1E,#006D2C
ISG15,gene,1,2.9898,4.315e-6,TRUE,#E4948E,#424242
JAK1,intermediate,1,-0.5647,0.7875,FALSE,#E08A1E,#006D2C
MX1,gene,1,1.9611,5.969e-7,TRUE,#F0B9B4,#424242
OAS1,gene,1,2.654,5.538e-7,TRUE,#E8A09A,#424242
PERTURBATION,perturbation,1,NA,NA,NA,#E08A1E,#424242
STAT1,TF,1,-0.605,0.7628,FALSE,#E08A1E,#006D2C
