source,target,sign,recurrence,edge_class
IKBKB,NFKB1,1,0.88,CARNIVAL-PKN
IKBKB,RELA,1,0.82,CARNIVAL-PKN
JAK1,IRF1,1,0.7,CARNIVAL-PKN
JAK1,STAT1,1,0.95,CARNIVAL-PKN
MAPK1,ETS1,1,0.58,CARNIVAL-PKN
MAPK1,FOS,1,0.75,CARNIVAL-PKN
MAPK1,JUN,1,0.9,CARNIVAL-PKN
MAPK14,SPI1,1,0.52,CARNIVAL-PKN
PERTURBATION,IKBKB,1,0.85,CARNIVAL-PKN
PERTURBATION,JAK1,1,0.8,CARNIVAL-PKN
PERTURBATION,MAPK1,1,1,CARNIVAL-PKN
PERTURBATION,PIK3CA,1,0.65,CARNIVAL-PKN
PIK3CA,HIF1A,1,0.72,CARNIVAL-PKN
PIK3CA,KLF2,-1,0.55,CARNIVAL-PKN
STAT1,IRF7,1,0.62,CARNIVAL-PKN
