source,target,sign,recurrence,Comparison
PERTURBATION,MAPK1,1,1,Treatment_24h_vs_Control
PERTURBATION,IKBKB,1,0.85,Treatment_24h_vs_Control
PERTURBATION,JAK1,1,0.8,Treatment_24h_vs_Control
PERTURBATION,PIK3CA,1,0.65,Treatment_24h_vs_Control
MAPK1,JUN,1,0.9,Treatment_24h_vs_Control
MAPK1,FOS,1,0.75,Treatment_24h_vs_Control
IKBKB,NFKB1,1,0.88,Treatment_24h_vs_Control
IKBKB,RELA,1,0.82,Treatment_24h_vs_Control
JAK1,STAT1,1,0.95,Treatment_24h_vs_Control
JAK1,IRF1,1,0.7,Treatment_24h_vs_Control
STAT1,IRF7,1,0.62,Treatment_24h_vs_Control
PIK3CA,HIF1A,1,0.72,Treatment_24h_vs_Control
PIK3CA,KLF2,-1,0.55,Treatment_24h_vs_Control
MAPK1,ETS1,1,0.58,Treatment_24h_vs_Control
MAPK14,SPI1,1,0.52,Treatment_24h_vs_Control
PERTURBATION,MAPK1,1,1,Treatment_48h_vs_Control
PERTURBATION,IKBKB,1,0.85,Treatment_48h_vs_Control
PERTURBATION,JAK1,1,0.8,Treatment_48h_vs_Control
PERTURBATION,PIK3CA,1,0.65,Treatment_48h_vs_Control
MAPK1,JUN,1,0.9,Treatment_48h_vs_Control
MAPK1,FOS,1,0.75,Treatment_48h_vs_Control
IKBKB,NFKB1,1,0.88,Treatment_48h_vs_Control
IKBKB,RELA,1,0.82,Treatment_48h_vs_Control
JAK1,STAT1,1,0.95,Treatment_48h_vs_Control
JAK1,IRF1,1,0.7,Treatment_48h_vs_Control
STAT1,IRF7,1,0.62,Treatment_48h_vs_Control
PIK3CA,HIF1A,1,0.72,Treatment_48h_vs_Control
PIK3CA,KLF2,-1,0.55,Treatment_48h_vs_Control
MAPK1,ETS1,1,0.58,Treatment_48h_vs_Control
MAPK14,SPI1,1,0.52,Treatment_48h_vs_Control
PERTURBATION,MAPK1,1,1,Recovery_96h_vs_Control
PERTURBATION,IKBKB,1,0.85,Recovery_96h_vs_Control
PERTURBATION,JAK1,1,0.8,Recovery_96h_vs_Control
PERTURBATION,PIK3CA,1,0.65,Recovery_96h_vs_Control
MAPK1,JUN,1,0.9,Recovery_96h_vs_Control
MAPK1,FOS,1,0.75,Recovery_96h_vs_Control
IKBKB,NFKB1,1,0.88,Recovery_96h_vs_Control
IKBKB,RELA,1,0.82,Recovery_96h_vs_Control
JAK1,STAT1,1,0.95,Recovery_96h_vs_Control
JAK1,IRF1,1,0.7,Recovery_96h_vs_Control
STAT1,IRF7,1,0.62,Recovery_96h_vs_Control
PIK3CA,HIF1A,1,0.72,Recovery_96h_vs_Control
PIK3CA,KLF2,-1,0.55,Recovery_96h_vs_Control
MAPK1,ETS1,1,0.58,Recovery_96h_vs_Control
MAPK14,SPI1,1,0.52,Recovery_96h_vs_Control
