module,gene
Antiviral_Response,Ifit1
Antiviral_Response,Isg15
Antiviral_Response,Mx1
Antiviral_Response,Oas1
Antiviral_Response,Cxcl10
Antiviral_Response,Irf7
Inflammatory_Signaling,Tnf
Inflammatory_Signaling,Ccl2
Inflammatory_Signaling,Ptgs2
Inflammatory_Signaling,Icam1
Inflammatory_Signaling,Vcam1
Vascular_Stress,Vegfa
Vascular_Stress,Nos2
Vascular_Stress,Angpt2
Vascular_Stress,Thbd
ECM_Remodeling,Mmp3
ECM_Remodeling,Mmp9
ECM_Remodeling,Col4a1
ECM_Remodeling,Spp1
Leukocyte_Infiltration,Itgam
Leukocyte_Infiltration,Lyz2
Leukocyte_Infiltration,S100a9
