module,gene,Comparison,log2FoldChange,padj,direction
Antiviral_Response,Cxcl10,Treatment_24h_vs_Control,1.752,4.748e-7,up
Antiviral_Response,Cxcl10,Recovery_96h_vs_Control,-1.4305,2.408e-5,down
Antiviral_Response,Ifit1,Treatment_24h_vs_Control,2.4927,4.804e-7,up
Antiviral_Response,Ifit1,Recovery_96h_vs_Control,-1.2239,4.625e-5,down
Antiviral_Response,Irf7,Treatment_24h_vs_Control,2.7663,1.918e-6,up
Antiviral_Response,Isg15,Treatment_24h_vs_Control,2.9898,4.315e-6,up
Antiviral_Response,Mx1,Treatment_24h_vs_Control,1.9611,5.969e-7,up
Antiviral_Response,Oas1,Treatment_24h_vs_Control,2.654,5.538e-7,up
ECM_Remodeling,Col4a1,Recovery_96h_vs_Control,3.0577,3.54e-5,up
ECM_Remodeling,Mmp3,Treatment_48h_vs_Control,2.5439,3.177e-7,up
ECM_Remodeling,Mmp3,Recovery_96h_vs_Control,2.9794,4.489e-7,up
ECM_Remodeling,Mmp9,Treatment_48h_vs_Control,2.8936,1.643e-7,up
ECM_Remodeling,Mmp9,Recovery_96h_vs_Control,2.8031,3.501e-5,up
ECM_Remodeling,Spp1,Recovery_96h_vs_Control,2.0626,2.459e-6,up
Inflammatory_Signaling,Ccl2,Treatment_48h_vs_Control,2.6301,3.73e-5,up
Inflammatory_Signaling,Icam1,Treatment_48h_vs_Control,1.7087,1.492e-7,up
Inflammatory_Signaling,Icam1,Recovery_96h_vs_Control,-1.5903,9.106e-4,down
Inflammatory_Signaling,Ptgs2,Treatment_48h_vs_Control,2.2809,3.91e-6,up
Inflammatory_Signaling,Tnf,Treatment_48h_vs_Control,1.8349,8.137e-6,up
Inflammatory_Signaling,Vcam1,Treatment_48h_vs_Control,2.7229,3.433e-6,up
Leukocyte_Infiltration,Itgam,Treatment_48h_vs_Control,2.7085,3.264e-7,up
Leukocyte_Infiltration,Lyz2,Treatment_48h_vs_Control,2.2549,8.475e-7,up
Leukocyte_Infiltration,S100a9,Treatment_48h_vs_Control,1.9643,6.128e-5,up
Vascular_Stress,Angpt2,Recovery_96h_vs_Control,1.713,1.579e-7,up
Vascular_Stress,Nos2,Treatment_48h_vs_Control,2.7712,4.247e-6,up
Vascular_Stress,Thbd,Treatment_24h_vs_Control,-2.1236,1.173e-5,down
Vascular_Stress,Thbd,Treatment_48h_vs_Control,-1.8264,8.019e-5,down
Vascular_Stress,Thbd,Recovery_96h_vs_Control,1.8319,2.828e-4,up
Vascular_Stress,Vegfa,Treatment_48h_vs_Control,2.04,3.064e-5,up
