Comparison,tf,scored_targets,activity,target_count,activity_z,predicted_state
Treatment_24h_vs_Control,STAT1,4,12.41475,4,1.8555217725967752,predicted activation
Treatment_24h_vs_Control,KLF2,3,-5.541119208547434,3,-1.5308125261620107,predicted inhibition
Treatment_24h_vs_Control,IRF7,3,10.060617115763824,3,1.4115510108844935,predicted activation
Treatment_24h_vs_Control,IRF1,3,7.337890981292468,3,0.8980664901296698,predicted activation
Treatment_24h_vs_Control,SPI1,3,-0.7745153861178828,3,-0.6318689091744097,predicted inhibition
Treatment_24h_vs_Control,HIF1A,3,-0.6234805556978769,3,-0.6033849399152096,predicted inhibition
Treatment_24h_vs_Control,ETS1,3,-0.2535722382280836,3,-0.5336231696385677,predicted inhibition
Treatment_24h_vs_Control,FOS,3,0.5211740879974751,3,-0.38751216677572115,predicted activation
Treatment_24h_vs_Control,JUN,3,0.5211740879974751,3,-0.38751216677572115,predicted activation
Treatment_24h_vs_Control,NFKB1,4,1.4015,4,-0.22148969271575228,predicted activation
Treatment_24h_vs_Control,RELA,4,3.2708999999999997,4,0.13106429754645355,predicted activation
Treatment_48h_vs_Control,KLF2,3,-12.096585105034121,3,-2.323935399789793,predicted inhibition
Treatment_48h_vs_Control,IRF7,3,-1.7472928546754836,3,-0.9636263116994612,predicted inhibition
Treatment_48h_vs_Control,SPI1,3,12.312918250899473,3,0.8844452747145216,predicted activation
Treatment_48h_vs_Control,NFKB1,4,12.285499999999999,4,0.8808414248109879,predicted activation
Treatment_48h_vs_Control,FOS,3,11.570272599640859,3,0.7868320655984249,predicted activation
Treatment_48h_vs_Control,JUN,3,11.570272599640859,3,0.7868320655984249,predicted activation
Treatment_48h_vs_Control,STAT1,4,0.3292,4,-0.6906924691488451,predicted activation
Treatment_48h_vs_Control,ETS1,3,8.438147389287138,3,0.37514609851856373,predicted activation
Treatment_48h_vs_Control,IRF1,3,3.2531955618027846,3,-0.30636302516021985,predicted activation
Treatment_48h_vs_Control,RELA,4,7.7774,4,0.2882975820368587,predicted activation
Treatment_48h_vs_Control,HIF1A,3,7.731181984664442,3,0.28222269452053794,predicted activation
Recovery_96h_vs_Control,IRF1,3,-10.52561502256915,3,-1.9980408883527625,predicted inhibition
Recovery_96h_vs_Control,KLF2,3,6.688140988346463,3,1.460780167323354,predicted activation
Recovery_96h_vs_Control,STAT1,4,-7.2867500000000005,4,-1.3472442505096776,predicted inhibition
Recovery_96h_vs_Control,FOS,3,3.38090544134753,3,0.7962455974835917,predicted activation
Recovery_96h_vs_Control,JUN,3,3.38090544134753,3,0.7962455974835917,predicted activation
Recovery_96h_vs_Control,HIF1A,3,2.26338626030409,3,0.571698504387587,predicted activation
Recovery_96h_vs_Control,IRF7,3,1.6523764704207091,3,0.4489261399406445,predicted activation
Recovery_96h_vs_Control,NFKB1,4,-2.48775,4,-0.3829641575616903,predicted inhibition
Recovery_96h_vs_Control,RELA,4,-2.2753,4,-0.3402758254619195,predicted inhibition
Recovery_96h_vs_Control,SPI1,3,-0.6160904722522497,3,-0.006884969525935496,predicted inhibition
Recovery_96h_vs_Control,ETS1,3,-0.5742903127629208,3,0.0015140847932165738,predicted inhibition
