Gene,Comparison,log2FoldChange,padj,stat,safe_padj,de_score,significant
Ifit1,Treatment_24h_vs_Control,2.4927,4.804e-7,5.0843,4.804e-7,5.0843,TRUE
Isg15,Treatment_24h_vs_Control,2.9898,4.315e-6,7.3682,4.315e-6,7.3682,TRUE
Mx1,Treatment_24h_vs_Control,1.9611,5.969e-7,6.5199,5.969e-7,6.5199,TRUE
Oas1,Treatment_24h_vs_Control,2.654,5.538e-7,5.3953,5.538e-7,5.3953,TRUE
Cxcl10,Treatment_24h_vs_Control,1.752,4.748e-7,7.1545,4.748e-7,7.1545,TRUE
Irf7,Treatment_24h_vs_Control,2.7663,1.918e-6,7.8572,1.918e-6,7.8572,TRUE
Tnf,Treatment_24h_vs_Control,-0.2947,0.4552,-1.0589,0.4552,-1.0589,FALSE
Ccl2,Treatment_24h_vs_Control,0.5692,0.477,1.865,0.477,1.865,FALSE
Ptgs2,Treatment_24h_vs_Control,0.643,0.6845,1.5832,0.6845,1.5832,FALSE
Icam1,Treatment_24h_vs_Control,0.5374,0.8524,1.626,0.8524,1.626,FALSE
Vcam1,Treatment_24h_vs_Control,-0.3425,0.4558,-0.8409,0.4558,-0.8409,FALSE
Vegfa,Treatment_24h_vs_Control,0.3246,0.1254,0.9276,0.1254,0.9276,FALSE
Nos2,Treatment_24h_vs_Control,-0.4043,0.1381,-0.9689,0.1381,-0.9689,FALSE
Angpt2,Treatment_24h_vs_Control,-0.0906,0.1278,-0.2397,0.1278,-0.2397,FALSE
Thbd,Treatment_24h_vs_Control,-2.1236,1.173e-5,-7.8467,1.173e-5,-7.8467,TRUE
Mmp3,Treatment_24h_vs_Control,0.2356,0.6884,0.5558,0.6884,0.5558,FALSE
Mmp9,Treatment_24h_vs_Control,0.1033,0.4211,0.2565,0.4211,0.2565,FALSE
Col4a1,Treatment_24h_vs_Control,-0.5222,0.847,-1.7001,0.847,-1.7001,FALSE
Spp1,Treatment_24h_vs_Control,0.0823,0.8421,0.199,0.8421,0.199,FALSE
Itgam,Treatment_24h_vs_Control,-0.02,0.1898,-0.0874,0.1898,-0.0874,FALSE
Lyz2,Treatment_24h_vs_Control,-0.0449,0.407,-0.0926,0.407,-0.0926,FALSE
S100a9,Treatment_24h_vs_Control,0.6104,0.2187,1.4617,0.2187,1.4617,FALSE
Stat1,Treatment_24h_vs_Control,-0.605,0.7628,-1.3547,0.7628,-1.3547,FALSE
Irf1,Treatment_24h_vs_Control,0.0649,0.2684,0.1469,0.2684,0.1469,FALSE
Nfkb1,Treatment_24h_vs_Control,-0.2388,0.7327,-0.5082,0.7327,-0.5082,FALSE
Rela,Treatment_24h_vs_Control,-0.8917,0.2357,-1.8273,0.2357,-1.8273,FALSE
Jun,Treatment_24h_vs_Control,0.3117,0.8541,0.991,0.8541,0.991,FALSE
Fos,Treatment_24h_vs_Control,0.5172,0.692,1.6259,0.692,1.6259,FALSE
Hif1a,Treatment_24h_vs_Control,0.2337,0.1677,0.7842,0.1677,0.7842,FALSE
Spi1,Treatment_24h_vs_Control,0.0885,0.8979,0.3052,0.8979,0.3052,FALSE
Ets1,Treatment_24h_vs_Control,-0.1751,0.2897,-0.6965,0.2897,-0.6965,FALSE
Klf2,Treatment_24h_vs_Control,-1.1718,6.34e-4,-3.7878,6.34e-4,-3.7878,TRUE
Mapk1,Treatment_24h_vs_Control,0.5403,0.8567,2.4186,0.8567,2.4186,FALSE
Ikbkb,Treatment_24h_vs_Control,0.3703,0.6454,0.8052,0.6454,0.8052,FALSE
Jak1,Treatment_24h_vs_Control,-0.5647,0.7875,-1.9691,0.7875,-1.9691,FALSE
Pik3ca,Treatment_24h_vs_Control,0.1495,0.3468,0.3692,0.3468,0.3692,FALSE
Mapk14,Treatment_24h_vs_Control,-0.5273,0.3975,-1.0932,0.3975,-1.0932,FALSE
Ifit1,Treatment_48h_vs_Control,-0.1799,0.3592,-0.4387,0.3592,-0.4387,FALSE
Isg15,Treatment_48h_vs_Control,0.3584,0.1651,1.2722,0.1651,1.2722,FALSE
Mx1,Treatment_48h_vs_Control,-0.281,0.175,-1.0747,0.175,-1.0747,FALSE
Oas1,Treatment_48h_vs_Control,0.2996,0.427,0.8677,0.427,0.8677,FALSE
Cxcl10,Treatment_48h_vs_Control,0.2829,0.672,0.6909,0.672,0.6909,FALSE
Irf7,Treatment_48h_vs_Control,-0.1646,0.6702,-0.4402,0.6702,-0.4402,FALSE
Tnf,Treatment_48h_vs_Control,1.8349,8.137e-6,5.9355,8.137e-6,5.9355,TRUE
Ccl2,Treatment_48h_vs_Control,2.6301,3.73e-5,9.1513,3.73e-5,9.1513,TRUE
Ptgs2,Treatment_48h_vs_Control,2.2809,3.91e-6,7.5245,3.91e-6,7.5245,TRUE
Icam1,Treatment_48h_vs_Control,1.7087,1.492e-7,3.4312,1.492e-7,3.4312,TRUE
Vcam1,Treatment_48h_vs_Control,2.7229,3.433e-6,6.6957,3.433e-6,6.6957,TRUE
Vegfa,Treatment_48h_vs_Control,2.04,3.064e-5,4.1955,3.064e-5,4.1955,TRUE
Nos2,Treatment_48h_vs_Control,2.7712,4.247e-6,5.5939,4.247e-6,5.5939,TRUE
Angpt2,Treatment_48h_vs_Control,-0.3955,0.8853,-1.6737,0.8853,-1.6737,FALSE
Thbd,Treatment_48h_vs_Control,-1.8264,8.019e-5,-6.1545,8.019e-5,-6.1545,TRUE
Mmp3,Treatment_48h_vs_Control,2.5439,3.177e-7,5.9271,3.177e-7,5.9271,TRUE
Mmp9,Treatment_48h_vs_Control,2.8936,1.643e-7,6.9929,1.643e-7,6.9929,TRUE
Col4a1,Treatment_48h_vs_Control,-0.0643,0.6937,-0.1303,0.6937,-0.1303,FALSE
Spp1,Treatment_48h_vs_Control,0.6385,0.7824,2.0276,0.7824,2.0276,FALSE
Itgam,Treatment_48h_vs_Control,2.7085,3.264e-7,6.4516,3.264e-7,6.4516,TRUE
Lyz2,Treatment_48h_vs_Control,2.2549,8.475e-7,7.8628,8.475e-7,7.8628,TRUE
S100a9,Treatment_48h_vs_Control,1.9643,6.128e-5,7.9556,6.128e-5,7.9556,TRUE
Stat1,Treatment_48h_vs_Control,0.0326,0.2512,0.0768,0.2512,0.0768,FALSE
Irf1,Treatment_48h_vs_Control,0.2923,0.6075,0.7197,0.6075,0.7197,FALSE
Nfkb1,Treatment_48h_vs_Control,0.3978,0.1514,1.4572,0.1514,1.4572,FALSE
Rela,Treatment_48h_vs_Control,-0.2881,0.5487,-0.6855,0.5487,-0.6855,FALSE
Jun,Treatment_48h_vs_Control,0.4694,0.3082,1.2162,0.3082,1.2162,FALSE
Fos,Treatment_48h_vs_Control,-0.2637,0.8958,-0.8419,0.8958,-0.8419,FALSE
Hif1a,Treatment_48h_vs_Control,0.8839,0.5988,2.4921,0.5988,2.4921,FALSE
Spi1,Treatment_48h_vs_Control,-0.4088,0.227,-1.6291,0.227,-1.6291,FALSE
Ets1,Treatment_48h_vs_Control,0.5984,0.7115,1.2013,0.7115,1.2013,FALSE
Klf2,Treatment_48h_vs_Control,-1.6071,9.718e-4,-4.8288,9.718e-4,-4.8288,TRUE
Mapk1,Treatment_48h_vs_Control,0.1574,0.2311,0.665,0.2311,0.665,FALSE
Ikbkb,Treatment_48h_vs_Control,-0.1317,0.9386,-0.4343,0.9386,-0.4343,FALSE
Jak1,Treatment_48h_vs_Control,0.5377,0.3152,1.2726,0.3152,1.2726,FALSE
Pik3ca,Treatment_48h_vs_Control,-0.4396,0.2457,-0.9579,0.2457,-0.9579,FALSE
Mapk14,Treatment_48h_vs_Control,0.3711,0.8831,0.8602,0.8831,0.8602,FALSE
Ifit1,Recovery_96h_vs_Control,-1.2239,4.625e-5,-5.3427,4.625e-5,-5.3427,TRUE
Isg15,Recovery_96h_vs_Control,-0.325,0.5096,-1.1771,0.5096,-1.1771,FALSE
Mx1,Recovery_96h_vs_Control,0.9045,0.2455,3.4005,0.2455,3.4005,FALSE
Oas1,Recovery_96h_vs_Control,-0.9518,0.8536,-2.2024,0.8536,-2.2024,FALSE
Cxcl10,Recovery_96h_vs_Control,-1.4305,2.408e-5,-3.2682,2.408e-5,-3.2682,TRUE
Irf7,Recovery_96h_vs_Control,0.3836,0.3059,1.0447,0.3059,1.0447,FALSE
Tnf,Recovery_96h_vs_Control,0.9292,0.2266,2.4076,0.2266,2.4076,FALSE
Ccl2,Recovery_96h_vs_Control,0.1984,0.6696,0.4956,0.6696,0.4956,FALSE
Ptgs2,Recovery_96h_vs_Control,-0.1783,0.7776,-0.3693,0.7776,-0.3693,FALSE
Icam1,Recovery_96h_vs_Control,-1.5903,9.106e-4,-3.4726,9.106e-4,-3.4726,TRUE
Vcam1,Recovery_96h_vs_Control,-0.3936,0.1661,-0.9646,0.1661,-0.9646,FALSE
Vegfa,Recovery_96h_vs_Control,0.5557,0.4282,1.21,0.4282,1.21,FALSE
Nos2,Recovery_96h_vs_Control,0.36,0.1571,0.7422,0.1571,0.7422,FALSE
Angpt2,Recovery_96h_vs_Control,1.713,1.579e-7,7.7608,1.579e-7,7.7608,TRUE
Thbd,Recovery_96h_vs_Control,1.8319,2.828e-4,4.0363,2.828e-4,4.0363,TRUE
Mmp3,Recovery_96h_vs_Control,2.9794,4.489e-7,7.2219,4.489e-7,7.2219,TRUE
Mmp9,Recovery_96h_vs_Control,2.8031,3.501e-5,9.4859000000000009,3.501e-5,9.4859000000000009,TRUE
Col4a1,Recovery_96h_vs_Control,3.0577,3.54e-5,7.4286,3.54e-5,7.4286,TRUE
Spp1,Recovery_96h_vs_Control,2.0626,2.459e-6,4.7723,2.459e-6,4.7723,TRUE
Itgam,Recovery_96h_vs_Control,-0.5179,0.8834,-1.5335,0.8834,-1.5335,FALSE
Lyz2,Recovery_96h_vs_Control,-0.0533,0.8329,-0.2287,0.8329,-0.2287,FALSE
S100a9,Recovery_96h_vs_Control,-0.698,0.1289,-1.682,0.1289,-1.682,FALSE
Stat1,Recovery_96h_vs_Control,-0.1352,0.3574,-0.3421,0.3574,-0.3421,FALSE
Irf1,Recovery_96h_vs_Control,-0.1742,0.9033,-0.605,0.9033,-0.605,FALSE
Nfkb1,Recovery_96h_vs_Control,-0.1705,0.2333,-0.4957,0.2333,-0.4957,FALSE
Rela,Recovery_96h_vs_Control,0.1914,0.7521,0.7739,0.7521,0.7739,FALSE
Jun,Recovery_96h_vs_Control,0.0813,0.5693,0.1737,0.5693,0.1737,FALSE
Fos,Recovery_96h_vs_Control,-0.7914,0.8091,-2.9743,0.8091,-2.9743,FALSE
Hif1a,Recovery_96h_vs_Control,0.2365,0.1835,0.538,0.1835,0.538,FALSE
Spi1,Recovery_96h_vs_Control,0.5883,0.7128,1.6217,0.7128,1.6217,FALSE
Ets1,Recovery_96h_vs_Control,-0.656,0.915,-1.5357,0.915,-1.5357,FALSE
Klf2,Recovery_96h_vs_Control,0.0804,0.1652,0.1881,0.1652,0.1881,FALSE
Mapk1,Recovery_96h_vs_Control,-0.988,0.6049,-4.4195,0.6049,-4.4195,FALSE
Ikbkb,Recovery_96h_vs_Control,-0.024,0.5592,-0.0636,0.5592,-0.0636,FALSE
Jak1,Recovery_96h_vs_Control,0.7136,0.3585,1.8842,0.3585,1.8842,FALSE
Pik3ca,Recovery_96h_vs_Control,0.911,0.5785,2.1447,0.5785,2.1447,FALSE
Mapk14,Recovery_96h_vs_Control,-0.8677,0.1925,-3.3463,0.1925,-3.3463,FALSE
