threshold,sample,dpi,product,piN,piS,delta_piN_minus_piS
minfreq_0p01,DPI1_R1,dpi1,nsp1,0.011481,0.010546,0.000957
minfreq_0p01,DPI1_R1,dpi1,nsp2,0.011617,0.009073,0.003632
minfreq_0p01,DPI1_R1,dpi1,nsp3,0.011198,0.002782,0.008798
minfreq_0p01,DPI1_R1,dpi1,nsp4,0.012697,0.011421,0.001035
minfreq_0p01,DPI1_R1,dpi1,capsid,0.012332,0.010291,0.002394
minfreq_0p01,DPI1_R1,dpi1,E3,0.012739,0.002203,0.008347
minfreq_0p01,DPI1_R1,dpi1,E2,0.011681,0.001,0.010125
minfreq_0p01,DPI1_R1,dpi1,6K,0.011063,0.001775,0.008459
minfreq_0p01,DPI1_R1,dpi1,E1,0.011278,0.004493,0.00631
minfreq_0p01,DPI1_R2,dpi1,nsp1,0.014347,0.013512,0.001074
minfreq_0p01,DPI1_R2,dpi1,nsp2,0.007456,0.005785,0.003511
minfreq_0p01,DPI1_R2,dpi1,nsp3,0.009253,0.001563,0.006543
minfreq_0p01,DPI1_R2,dpi1,nsp4,0.008343,0.00694,0.001199
minfreq_0p01,DPI1_R2,dpi1,capsid,0.011741,0.010425,0.001399
minfreq_0p01,DPI1_R2,dpi1,E3,0.014456,0.001,0.012412
minfreq_0p01,DPI1_R2,dpi1,E2,0.01395,0.001843,0.01105
minfreq_0p01,DPI1_R2,dpi1,6K,0.009848,0.001,0.012179
minfreq_0p01,DPI1_R2,dpi1,E1,0.01125,0.002815,0.005749
minfreq_0p01,DPI1_R3,dpi1,nsp1,0.008703,0.007833,0.000754
minfreq_0p01,DPI1_R3,dpi1,nsp2,0.013517,0.008522,0.00428
minfreq_0p01,DPI1_R3,dpi1,nsp3,0.011718,0.003546,0.011423
minfreq_0p01,DPI1_R3,dpi1,nsp4,0.014859,0.014261,0.00084
minfreq_0p01,DPI1_R3,dpi1,capsid,0.01276,0.010867,0.00202
minfreq_0p01,DPI1_R3,dpi1,E3,0.013742,0.001,0.014605
minfreq_0p01,DPI1_R3,dpi1,E2,0.010172,0.001,0.01186
minfreq_0p01,DPI1_R3,dpi1,6K,0.014857,0.004875,0.011258
minfreq_0p01,DPI1_R3,dpi1,E1,0.014248,0.010062,0.004895
minfreq_0p01,DPI3_R1,dpi3,nsp1,0.006476,0.005762,0.000912
