CHROM,Position,Depth,sample_id,dpi,replicate
VEEV,1,6386,DPI1_R1_Lung,1,1
VEEV,2,6205,DPI1_R1_Lung,1,1
VEEV,3,8347,DPI1_R1_Lung,1,1
VEEV,4,4998,DPI1_R1_Lung,1,1
VEEV,5,6162,DPI1_R1_Lung,1,1
VEEV,6,7300,DPI1_R1_Lung,1,1
VEEV,7,8183,DPI1_R1_Lung,1,1
VEEV,8,7424,DPI1_R1_Lung,1,1
VEEV,9,8391,DPI1_R1_Lung,1,1
VEEV,10,6357,DPI1_R1_Lung,1,1
VEEV,11,7044,DPI1_R1_Lung,1,1
VEEV,12,5211,DPI1_R1_Lung,1,1
VEEV,13,6411,DPI1_R1_Lung,1,1
VEEV,14,5767,DPI1_R1_Lung,1,1
VEEV,15,8822,DPI1_R1_Lung,1,1
VEEV,16,7051,DPI1_R1_Lung,1,1
VEEV,17,5026,DPI1_R1_Lung,1,1
VEEV,18,6919,DPI1_R1_Lung,1,1
VEEV,19,8912,DPI1_R1_Lung,1,1
VEEV,20,6539,DPI1_R1_Lung,1,1
VEEV,21,6274,DPI1_R1_Lung,1,1
VEEV,22,6334,DPI1_R1_Lung,1,1
VEEV,23,6301,DPI1_R1_Lung,1,1
VEEV,24,6716,DPI1_R1_Lung,1,1
VEEV,25,6359,DPI1_R1_Lung,1,1
VEEV,26,5820,DPI1_R1_Lung,1,1
VEEV,27,7481,DPI1_R1_Lung,1,1
VEEV,28,9312,DPI1_R1_Lung,1,1
VEEV,29,6593,DPI1_R1_Lung,1,1
VEEV,30,7783,DPI1_R1_Lung,1,1
VEEV,31,8435,DPI1_R1_Lung,1,1
VEEV,32,7717,DPI1_R1_Lung,1,1
VEEV,33,6936,DPI1_R1_Lung,1,1
VEEV,34,4879,DPI1_R1_Lung,1,1
VEEV,35,6077,DPI1_R1_Lung,1,1
VEEV,36,9240,DPI1_R1_Lung,1,1
VEEV,37,8174,DPI1_R1_Lung,1,1
VEEV,38,6447,DPI1_R1_Lung,1,1
VEEV,39,7061,DPI1_R1_Lung,1,1
VEEV,40,6027,DPI1_R1_Lung,1,1
VEEV,41,6930,DPI1_R1_Lung,1,1
VEEV,42,8224,DPI1_R1_Lung,1,1
VEEV,43,8292,DPI1_R1_Lung,1,1
VEEV,44,7531,DPI1_R1_Lung,1,1
VEEV,45,6106,DPI1_R1_Lung,1,1
VEEV,46,7735,DPI1_R1_Lung,1,1
VEEV,47,5962,DPI1_R1_Lung,1,1
VEEV,48,6131,DPI1_R1_Lung,1,1
VEEV,49,9775,DPI1_R1_Lung,1,1
VEEV,50,8329,DPI1_R1_Lung,1,1
VEEV,51,9021,DPI1_R1_Lung,1,1
VEEV,52,7402,DPI1_R1_Lung,1,1
VEEV,53,5866,DPI1_R1_Lung,1,1
VEEV,54,7986,DPI1_R1_Lung,1,1
VEEV,55,6406,DPI1_R1_Lung,1,1
VEEV,56,6900,DPI1_R1_Lung,1,1
VEEV,57,7985,DPI1_R1_Lung,1,1
VEEV,58,8383,DPI1_R1_Lung,1,1
VEEV,59,7225,DPI1_R1_Lung,1,1
VEEV,60,6918,DPI1_R1_Lung,1,1
VEEV,61,8170,DPI1_R1_Lung,1,1
VEEV,62,6391,DPI1_R1_Lung,1,1
VEEV,63,6163,DPI1_R1_Lung,1,1
VEEV,64,8575,DPI1_R1_Lung,1,1
VEEV,65,7483,DPI1_R1_Lung,1,1
VEEV,66,5031,DPI1_R1_Lung,1,1
VEEV,67,6899,DPI1_R1_Lung,1,1
VEEV,68,5952,DPI1_R1_Lung,1,1
VEEV,69,9285,DPI1_R1_Lung,1,1
VEEV,70,6439,DPI1_R1_Lung,1,1
VEEV,71,5643,DPI1_R1_Lung,1,1
VEEV,72,8555,DPI1_R1_Lung,1,1
VEEV,73,6878,DPI1_R1_Lung,1,1
VEEV,74,8190,DPI1_R1_Lung,1,1
VEEV,75,9013,DPI1_R1_Lung,1,1
VEEV,76,8312,DPI1_R1_Lung,1,1
VEEV,77,5318,DPI1_R1_Lung,1,1
VEEV,78,6608,DPI1_R1_Lung,1,1
VEEV,79,5892,DPI1_R1_Lung,1,1
VEEV,80,7019,DPI1_R1_Lung,1,1
VEEV,81,7139,DPI1_R1_Lung,1,1
VEEV,82,9015,DPI1_R1_Lung,1,1
VEEV,83,6516,DPI1_R1_Lung,1,1
VEEV,84,7511,DPI1_R1_Lung,1,1
VEEV,85,8695,DPI1_R1_Lung,1,1
